KEY,d13C _Sample,Formation,Std_Fm_Name,Location,Lat,Long,Age,Uncertainty,Known_Uncertainty,Lithology,HC_Ratio,N,Reference,Flags,Notes,Uncertainty_Method
44,17191,Lynott Formation,"Lynott Fm, McArthur Gp",Australia,-23.7,134.1,1490,75,,,0.94,1,Strauss 1992 3.2.2,,,
45,17192,Marimo Slate,Marimo Slate,Australia,-23.7,134.1,1500,75,,,0.05,1,Strauss 1992 3.2.2,,,
46,17193,Balbirini Dolomite,"Balbirini Dolomite, Nathan Gp",Australia,-23.7,134.1,1500,75,,,0.99,1,Strauss 1992 3.2.2,,,
47,17194,HYC Pyritic Shale,"HYC Pyritic Shale Mbr, McArthur Gp",Australia,-23.7,134.1,1500,75,,,0.51,2,Strauss 1992 3.2.2,,,
48,17195,Barney Creek,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,,1.08,21,Strauss 1992 3.2.2,,,
49,17196,Paradise Creek Formation,"Paradise Creek Fm, McNamara Gp",Australia,-23.7,134.1,1650,83,,,0.2,1,Strauss 1992 3.2.2,,,
50,17197,Urquhart Shale,Urquhart Shale,Australia,-23.7,134.1,1670,84,,,0.12,2,Strauss 1992 3.2.2,,,
51,17198,Earaheedy Group,Earaheedy Gp,Australia,-23.7,134.1,1800,90,,,0.27,1,Strauss 1992 3.2.2,,,
52,17199,Rove Formation,Rove Fm,USA,40.7,-96.2,1900,95,,,0.41,1,Strauss 1992 3.2.2,,,
53,17200,Golden Dyke Formation,Golden Dyke Fm,Australia,-23.7,134.1,1900,95,,,0.04,1,Strauss 1992 3.2.2,,,
54,17201,Duck Creek Dolomite,Duck Creek Dolomite,Australia,-23.7,134.1,2000,100,,,0.18,1,Strauss 1992 3.2.2,,,
55,17202,Gunflint Formation,Gunflint Iron Fm,Canada,59.6,-103.1,2090,105,,,0.35,1,Strauss 1992 3.2.2,,,
56,17203,Upper Albanel Formation,Albanel Fm,Canada,59.6,-103.1,2100,105,,,0.14,1,Strauss 1992 3.2.2,,,
57,17204,McLeary Formation,McLeary Fm,Canada,59.6,-103.1,2100,105,,,0.26,1,Strauss 1992 3.2.2,,,
