Eon,Formation,Age (Ma),Lithology,TOC,?C org ( ‰) PDB,?C carb ( ‰) PDB,N,Reference Code
,Elbobreen Formation ,690,CARB,,,4.1,24,FAIR87.973
,Backlundtoppen Formation ,700,CARB,0.46,-24.9,,3,KNOL86.823
,Backlundtoppen Formation ,700,SH,3.6,-25,,1,KNOL86.823
,Backlundtoppen Formation ,700,CARB,,5.4,,8,KNOL86.832
,Backlundtoppen Formation ,700,LS,,6.6,,3,FAIR87.973
,Bed 17 ,700,CARB,0.2,-23.1,,1,KNOL86.823
,Bed 17 ,700,CARB,,,9.1,2,KNOL86.832
,Bed 18 ,700,CARB,1,-26.4,,,KNOL86.823
,Bed 18 ,700,CARB,,,5.4,,KNOL86.832
,Biri Formation ,700,LS,23.25,-28.6,,4,TUCK83.295
,Biri Formation ,700,LS,,-29.3,,4,PPRG
,Biri Formation ,700,LS,,,1.7,11,TUCK83.295
,Brighton Limestone ,700,"LS, SILT",,,2,2,VEIZ761387
,Conception Group ,700,CH,,-31.2,,1,OEHL721246
,Hector Formation ,700,SH,,-30.5,,2,JACK78.335
,Hector Formation ,700,SH,2,-25.8,,1,LEVE754706
,Keele Formation ,700,CARB,0.54,-23.8,,10,PPRG
,Luoquan Formation ,700,SH,1.25,-27.4,,11,PPRG
,Twitya Formation ,700,SH,1.03,-28.7,,12,PPRG
,Twitya Formation ,700,CARB,0.46,,,1,PPRG
,Bed 14 ,720,LS,0.9,-23.9,,1,K.NOL86.823
,Bed 14 ,720,LS,,,4.4,1,KNOL86.832
,Bed 15 ,720,DOL,0.4,-23.8,,1,KNOL86.823
,Bed 15 ,720,DOL,,,5.6,1,KNOL86.832
,Draken Formation ,720,"CARB, SH",2.17,-23.6,,6,KNOL86.823
,Draken Formation ,720,"CARB, SH",,,5.7,9,KNOL86.832
,Rysso Formation ,720,CARB,0.97,-23.9,,10,KNOL86.823
,Rysso Formation ,720,CARB,,,5.7,11,KNOL86.832
,Bed 12 ,740,DOL,3.1,-28.2,,1,KNOL86.823
,Bed 12 ,740,DOL,,,1.7,1,KNOL86.832
,Bed 13 ,740,SH,1.1,-23.7,,2,KNOL86.823
,Bed 13 ,740,DOL,0.4,-23.9,,1,KNOL86.823
,Bed 13 ,740,DOL,,,4.7,1,KNOL86.832
,Bjoranes Formatiori ,740,SH,,-25.6,,1,JACK78.335
,Min'yar Formation ,740,CH,0.78,-29.4,,6,PPRG
,Coppercap Formation ,750,CARB,2.15,-28.6,,19,PPRG
,Damara Supergroup ,750,CARB,,-21.2,,3,EICH75.585
,Damara Supergroup ,750,CARB,,,2.6,11,SCHI75...1
,Damara Supergroup ,750,CARB,,,5.8,3,EICH75.585
,Diabaig Formation ,750,SH,,-30.1,,1,JACK78.335
,Eleonore Bay Formation ,750,CARB,,-24.1,,7,EICH75.585
,Eleonore Bay Formation ,750,CARB,,,5.2,10,SCHI75...1
,Eleonore Bay Formation ,750,CARB,,,6,7,EICH75.585
,Landrigan Tillite ,750,DOL,,,-5 .4,1,WILL79.377
,Sturtian ,750,LS,,,2.9,3,VEIZ761387
,Svanbergfjellet Formation ,750,CARB,1.53,-27.1,,3,KNOL86.823
,Svanbergfjellet Formation ,750,SH,2.8,-31,,1,KNOL86.823
,Svanbergfjellet Formation ,750,CARB,,2.3,,4,KNOL86.832
,Tapley Hill Formation ,750,SH,,-22,,4,MCKI74.591
,Tapley Hill Formation ,750,SH,,-20.8,,7,MCKI75.345
,Tapley Hill Formation ,750,SH,2.61,-25.1,,1,PPRG
,Tapley Hill Formation ,750,LS,,,-0.2,1,SCHI75...1
,Tapley Hill Formation ,750,CARB,,,-0.2,20,LAMB80...1
,Tapley Hill Formation ,750,DOL,,,1.8,1,WILL79.377
,Tapley Hill Formation ,750,DOL,,,-0.8,26,KNUT83.250
,Tapley Hill Formation ,750,DOL,,,-2.9,10,LAMB84.266
,Tindelpina Shale Member ,750,DOL,,,1.8,1,VEIZ761387
,Tindelpina Shale Member ,750,SILT,7.35,-23,,2,PPRG
,Woocalla Dolomite Member ,750,SILT,3.7,-30.4,,4,PPRG
,Areyonga Formation ,760,CH,0.13,-27.4,,8,PPRG
,Bed 10 ,760,DOL,0.5,-29.6,,1,KNOL86.823
,Bed 10 ,760,DOL,,,-1.4,1,KNOL86.832
,Bed 11 ,760,"CARB, SH",1.54,-23.7,,5,KNOL86.823
,Bed 11 ,760,"CARB, SH",,,4.5,5,KNOL86.832
,Bed 9 ,770,CARB,1,-24.2,,6,KNOL86.823
,Bed 9 ,770,CARB,,,6.2,6,KNOL86.832
,Grusdievbreen Formation ,770,LS,1.3,-26.7,,3,K.NOL86.823
,Grusdievbreen Formation ,770,CARB,,,4.5,6,KNOL86.832
,Skillogalee Dolomite: ,770,CARB,,-25,,1,EICH75.585
,Skillogalee Dolomite: ,770,CH,,-23.1,,3,OEHL721246
,Skillogalee Dolomite: ,770,DOLB,,-10.8,,1,MCKI74.591
,Skillogalee Dolomite: ,770,CH,0.46,-20.1,,22,PPRG
,Skillogalee Dolomite: ,770,DOL,,,-1.1,2,SCHI75...1
,Skillogalee Dolomite: ,770,DOL,,,-2,1,EICH75.585
,Skillogalee Dolomite: ,770,DOL,,,2.5,5,VEIZ761387
,Hunnberg Formation ,775,"CARB, SH",0.42,-26.6,,5,KNOL86.823
,Hunnberg Formation ,775,"CARB, SH",,0.7,,6,KNOL86.832
,River Wakefield Subgroup ,775,CH,0.88,14.3,,4,PPRG
,River Wakefield Subgroup ,775,SILT,0.31,-19.1,,3,PPRG
,River Wakefield Subgroup ,775,CARB,0.33,-18.1,,2,PPRG
,River Wakefield Subgroup ,775,DOL,,,2.7,4,VEIZ761387
,Shezal Formation ,775,CARB,0.12,-26.6,,1,PPRG
,Visingso Group ,775,SH,1.61,-26.5,,8,PPRG
,Visingso Group ,775,CARB,1.32,-28.1,,2,PPRG
,Auburn Dolomite ,780,"CARB, CH",0.55,-19.3,,1,PPRG
,Bed 7 ,780,LS,1.3,-23.7,,1,KNOL86.823
,Bed 7 ,780,LS,,,6.6,1,KNOL86.832
,Bed 8 ,780,LS,0.5,-22.4,,1,KNOL86.823
,Bed 8 ,780,LS,,,4.3,1,KNOL86.832
,Oxfordbreen Formation ,780,,,,2.9,2,KNOL86.832
,Oxfordbreen Formation ,780,SH,,-22.5,,2,KNOL86.823
,Raudstop/Salodd Formation ,780,"CARB, SH",1.53,-23.5,,3,KNOL86.823
,Raudstop/Salodd Formation ,780,,,,3.5,2,KNOL86.832
,Rhynie Sandstone ,785,CH,3.07,-17.6,,1,PPRG
,Burra Group ,800,CH,1.3,-23.1,,1,HAYE83..93
,Burra Group ,800,CH,,,4.6,1,SCHI83.149
,Glasgowbreen Formation ,800,SH,1.9,-28.7,,7,KNOL86.823
,Glasgowbreen Formation ,800,SH,,,-5.8,1,KNOL86.832
,Jiudingshan Formation ,800,CH,0.55,-23.6,,1,PPRG
,Little Dal Group ,800,CARB,0.34,-26.4,,11,PPRG
,Little Dal Group ,800,SH,7.07,-25.5,,5,PPRG
,Little Dal Group ,800,CH,0.4,-26.1,,2,PPRG
,Norvik Formation ,800,SILT,0.5,-26.1,,2,K.NOL86.823
,Sayunei Formation ,800,"SH, SILT",0.04,-16.7,,7,PPRG
,Torridon Group ,800,CONGL,0.08,-26.1,,3,PPRG
,Bambui Group ,810,CH,,-30.6,,1,FAIR86.323
,Flora Formation ,820,SH,0.5,-29.1,,2,KNOL86.823
,Kingbreen Formation ,830,SH,1.27,-27,,6,KNOL86.823
,Kingbreen Formation ,830,CARB,0.73,-21,,4,KNOL86.823
,Kingbreen Formation ,830,CARB,,,3.6,4,KNOL86.823
,Mineral Fork Tillite ,830,SILT,,-25.8,,4,JACK78.335
,Unnamed Formation ,830,SH,,-21.4,,3,JACK78.335
,Unnamed Formation ,830,SH,34,-21.9,,1,LEVE754706
,Kapp Lord Formation,840,CARB,0.47,-21.3,,3,KNOL86.823
,Kapp Lord Formation,840,SH,0.8,-22.6,,4,KNOL86.823
,Kapp Lord Formation,840,"CARB, SH",,,5.1,4,KNOL86.823
,Beck Spring Dolomite ,850,CH,,-25,,1,OEHL721246
,Beck Spring Dolomite ,850,DOL,,-15.2,,1,JACK78.335
,Beck Spring Dolomite ,850,DOL,,,4.2,13,TUCK82…7
,Beck Spring Dolomite ,850,"CARB, CH",0.35,-25.7,,1,PPRG
,Bitter Springs Formation ,850,CH,,-27.8,,2,OEHL721246
,Bitter Springs Formation ,850,DOL,,-18.6,,1,MCK174.591
,Bitter Springs Formation ,850,CH,,-24.8,,1,SMIT70.659
,Bitter Springs Formation ,850,CH,,-15.8,,1,JACK78.335
,Bitter Springs Formation ,850,CH,0.65,-22.1,,2,HAYE83..93
,Bitter Springs Formation ,850,CARB,0.18,-28.8,,7,PPRG
,Bitter Springs Formation ,850,CH,0.16,-25.8,,29,PPRG
,Bitter Springs Formation ,850,CH,,,3.4,1,SCHI83.149
,Bitter Springs Formation ,850,CARB,,,1.3,14,VEIZ761387
,Chattisgarh System ,850,LS,,-24.4,,1,EICH75.585
,Chattisgarh System ,850,CARB,,,3.9,5,SCHI75…1
,Chattisgarh System ,850,LS,,,5,1,EICH75.585
,Kingston Peak Formation ,850,SILT,,-19.5,,1,JACK78.335
,Kingston Peak Formation ,850,LS,8.05,,,4,TUCK86.818
,Kingston Peak Formation ,850,LS,,-22.3,,4,PPRG
,Kingston Peak Formation ,850,LS,,,2,7,TUCK87.818
,Kwagunt Formation ,850,SH,,-25.7,,1,BLOE85.741
,Walcott Member ,850,SH,20.35,-26.9,,3,PPRG
,Walcott Member ,850,CH,3.15,-26.7,,3,PPRG
,Walcott Member ,850,CARB,17.7,,26.5,2,PPRG
,Westmanbukta Formation ,850,SH,7.35,-28.6,,2,KNOL86.823
,Zhangqu Formation ,850,CH,0.52,-29.4,,1,PPRG
,Kortbreen Formation ,860,SH,2.63,-24.7,,3,KNOL86.823
,Persberget Formation ,860),SH,1.1,-21.6,,2,KNOL86.823
,Persberget Formation ,860),SH,,,1.1,1,KNOL86.832
,Awatubi Member ,862:Ma),SH,7.4,-29.5,,2,PPRG
Middle Proterozoic,Carbon Canyon Member ,900,CARB,0.32,-29.1,,1,PPRG
,Carbon Canyon Member ,900,SH,0.17,-24.4,,2,PPRG
,Taoudenni Basin ,900,LS,,-27,,3,EICH75.585
,Taoudenni Basin ,900,CARB,,,0.1,8,SCHI75...1
,Taoudenni Basin ,900,CARB,,,0.6,3,EICH75.585
,Jupiter Member ,930,"SH, CARB",4.74,-24.2,,7,PPRG
,Katav Formation ,940,CARB,0.55,-28.8,,2,PPRG
,Red Pine Shale ,950,SH,1.7,-17,,1,HAYE83..93
,Red Pine Shale ,950,SH,1.84,-17,,2,PPRG
,Stoer Bay Formation ,950,SH,,-29.1,,1,JACK78.335
,Tanner Member ,950,SH,3.69,-22,,6,PPRG
,Bederysh Member ,1000,"SILT, SH",1.31,-30,,1,PPRG
,"Kundelungu ""Series"" ",1000,DOL,,,1.3,1,SCHI75...1
,Kurnool System ,1000,LS,,-25,,1,EICH75.585
,Kurnool System ,1000,LS,,,3.4,1,EICH75.585
,Lower Kurnool System ,1000,LS,,3.4,,1,SCHI75...1
,Lower Roan Group ,1000,CARB,,-2.1,,12,SCHI75...1
,Mwashia Group ,1000,DOL,,-3.5,,1,SCH175...1
,Sukhaya Tunguska Formation ,1000,CH,0.18,-26.5,,1,PPRG
,Upper Kurnool System ,1000,LS,,,-0 .6,1,SCHI75...1
,Upper Roan Group ,1000,DOL,,,6.8,1,SCHI75...1
,Allamoore Formation ,1050,CH,0.8,-31.3,,1,HAYE83..93
,Allamoore Formation ,1050,CH,0.44,-26.8,,1,PPRG
,Oakway Formation ,1050,DOL,,,-1,1,SCHI75...1
,Nonesuch Shale ,1055,SH,,-27.1,,1,HOER67.365
,Nonesuch Shale ,1055,SH,,-33.2,,5,JACK78.335
,Nonesuch Shale ,1055,SH,,-38,,1,HAYE83..93
,Nonesuch Shale ,1055,SH,3.24,-30.4,,9,PPRG
,Nonesuch Shale ,1055,SH,3.85,,,42,BURN72.895
,Bangemall Group ,1100,DOL,,,0.8,7,VEIZ761387
,Eurelia Beds ,1100,CARB,,,2.6,55,LAMB84.461
,Mozambique Belt ,1100,LS,,,0.4,10,ARNE851553
,Tiding Formation ,1185,CARB,0.14,-24.5,,1,PPRG
,Tiding Formation ,1185,"SH, CARB",0.97,-31.7,,1,PPRG
,Fengjiawan Formation ,1190,CARB,0.08,-26.1,,1,PPRG
,Clarke Series ,1200,LS,,,0.8,1,VEIZ761387
,Duguan Formation ,1200,CARB,0.09,-26.8,,1,PPRG
,Mescal Limestone ,1200,DOL,,,3.1,16,BEEU85.737
,Muhos Formation ,1200,SH,,-27.6,,1,HOER67.365
,Vindhyan System ,1200,SH,,-33.2,,3,KRIS86.119
,Avsyan Formation ,1240,SH,3.49,-23.9,,4,PPRG
,Hongshuizhuang Formation ,1250,SH,8.34,-28.5,,2,PPRG
,Spokane Formation ,1250,DOL,,,-3.2,10,LANG871334
,Xunjiansi Formation ,1250,CH.CARB,0.08,-27.4,,3,PPRG
,Revet Member ,1260,CH,0.43,-30.1,,1,PPRG
,Badami Group ,1300,DOL,,,3.6,2,SATH87.147
,Dripping Springs Formation ,1300,SH,,-26.5,,3,JACK78.335
,Mount Shields Formation ,1320,CARB,0.05,-26.3,,1,PPRG
,Wumishan Formation ,1325,CH,0.42,-28.6,,15,PPRG
,Wumishan Formation ,1325,SH,0.21,-28.4,,2,PPRG
,Wumishan Formation ,1325,CARB,0.17,-28.3,,4,PPRG
,Rossport Formation ,1339,DOL,0.22,-29.6,,2,HAYE83..93
,Rossport Formation ,1339,"CARB, CH",0.42,-26.4,,4,PPRG
,Sibley Group ,1339,DOL,,,-0.3,1,SCHI75...1
,McMinn Formation ,1340,SH,,-29.6,,1,HOER67.365
,McMinn Formation ,1340,SH,,-30.2,,1,MCKI74.591
,McMinn Formation ,1340,SH,4.46,-31.9,,18,HAYE83..93
,McMinn Formation ,1340,SILT,10.68,-32.8,,9,PPRG
,Belt Supergroup ,1350,LS,,-22.5,,1,HOER62.190
,Belt Supergroup ,1350,LS,,,2.6,1,HOER62.190
,Cuddapah System ,1350,DOL,,-12.7,,1,EICH75.585
,Cuddapah System ,1350,LS,,,-0.9,1,SCHI75...1
,Cuddapah System ,1350,DOL,,,-0.9,1,EICH75.585
,Lansen Creek Shale Member ,1350,SH,9,-33.4,,1,POWE87...1
,Tukan Member ,1350,SH,1.63,-25,,2,PPRG
,Velkerri Formation ,1350,SH,43.91,-32.8,,7,POWE87...1
,Yangzhuang Formation ,1350,"CH, CARB",0.21,-27.5,,4,PPRG
,Bungle Bungle Dolomite ,1364,CARB,0.62,-26.4,,10,HAYE83..93
,Bungle Bungle Dolomite ,1364,SH,5.42,-30,,9,HAYE83..93
,Bungle Bungle Dolomite ,1364,CARB,0.16,-24.7,,2,PPRG
,Bungle Bungle Dolomite ,1364,CH,0.08,-21.5,,3,PPRG
,Bungle Bungle Dolomite ,1364,CARB,,,-0.7,7,SCHI83.149
,Bungle Bungle Dolomite ,1364,CH,0.9,-25.9,,1,HAYE83..93
,Helena Formation ,1380,CARB,0.08,-26,,1,PPRG
,Dismal Lakes Group ,1400,CH,0.77,-28.5,,7,PPRG
,Greyson Shale ,1420,SH,1.22,-29.8,,2,PPRG
,Gaoyuzhuang Formation ,1425,CH,1.3,-27.4,,5,SCHO84.335
,Gaoyuzhuang Formation ,1425,CH,1.19,-30.9,,8,PPRG
,Altyn Formation ,1440,CARB,0.07,-26 .4,,1,PPRG
,Newland Limestone ,1440,SH,0.93,-24.7,,15,PPRG
,Newland Limestone ,1440,CARB,0.51,-27.3,,7,PPRG
,Chamberlain Shale ,1450,SH,0.79,-32,,1,PPRG
,Prichard Formation ,1450,QUAR,0.93,-23.1,,1,PPRG
,Prichard Formation ,1450,SH,0.3,-23.9,,1,PPRG
,Yalco Formation ,1485,SH,34.68,-30.9,,4,POWE87...1
,Barney Creek Formation ,1500,SH,0.79,-29.1,,14,SMIT75.269
,Barney Creek Formation ,1500,SH,21.35,-32,,13,POWE87...1
,Barney Creek Formation ,1500,SH,4.82,-32.6,,1,PPRG
,Barney Creek Formation ,1500,"SH, CARB",,,-1.6,9,SMIT75.269
,HYC Pyritic Shale Member ,1500,SH,,-26.6,,1,MCK.I74.591
,HYC Pyritic Shale Member ,1500,SH,5.9,-31.7,,1,HAYE83..93
,HYC Pyritic Shale Member ,1500,DOL,,,-1.3,26,RYE81...1
,Marimo Slate ,1500,SH,,-25.8,,1,MCKI74.591
,Uncompahgre Formation ,1550,SH,15.87,-27.3,,16,BARK691403
,Einasleigh Metamorphics ,1580,CARB,,,5.2,8,MCNA83.175
Early Proterozoic,Amelia Dolomite ,1600,CARB,0.95,-26,,6,HAYE83..93
,Amelia Dolomite ,1600,CARB,,,-0.8,3,CHI83.149
,Amelia Dolomite ,1600,CH,0.7,-29.4,,1,HAYE83..93
,Kaladgi Group ,1600,CARB,,,0.3,16,HAYE83..93
,Tooganinie Formation ,1600,CH,,-24.6,,2,HAYE83..93
,Tooganinie Formation ,1600,CARB,,,-2,2,SCHI83.149
,Mallapunyah Formation ,1650,CARB,3.9,,0.2,1,SCHI83.149
,Mallapunyah Formation ,1650,CARB,,-32.3,,1,HAYE83..93
,Paradise Creek Formation ,1650,CH,,-29.3,,1,SMIT70.659
,Paradise Creek Formation ,1650,CH,,-28.7,,2,JACK78.335
,Paradise Creek Formation ,1650,CH,0.09,-28.8,,1,PPRG
,Urquhart Shale ,1670,SH,,-28.2,,1,MCK174.591
,Urquhart Shale ,1670,SH,,-23.9,,1,JACK78.335
,Urquhart Shale ,1670,SH,18,-22.2,,1,LEVE754706
,Urquhart Shale ,1670,SH,4.99,-23.7,,24,SMIT78.369
,Urquhart Shale ,1670,SH,9.18,-26.1,,6,PPRG
,McArthur Group ,1690,DOL,,,-1.2,6,VEIZ761387
,Vempalle and G. R. Formations ,1700,CH,0.08,-27.8,,3,PPRG
,Vermillion Limestone ,1700,CARB,0.3,-23,,1,HAYE83..93
,Tuanshanzi Formation ,1750,CARB,0.86,-30.5,,,PPRG
,Amisk Group ,1800,SH,16.78,-26.4,,40,STRA862653
,Earaheedy Group ,1800,BLANK?,,,-1 .3,4,SCHI83.149
,Earaheedy Group ,1800,CH,1.13,-23.2,,5,HAYE83..93
,Earaheedy Group ,1800,CARB,0.29,-21.6,,3,HAYE83..93
,Frere Formation ,1800,CARB,0.24,-24.8,,6,HAYE83..93
,Frere Formation ,1800,CH,0.11,-16.5,,4,HAYE83..93
,Frere Formation ,1800,DOL,,,0.2,3,SCHI83.149
,Jatulian Shungite Formation ,1800,SH,,-32,,1,LEVE754706
,Kulele Creek Limestone ,1800,CARB,0.1,-20,,1,HAYE83..93
,Kulele Creek Limestone ,1800,CARB,,,-1.2,1,SCHI83.149
,Windidda Formation ,1800,LS,0.2,-23,,1,HAYE83..93
,Windidda Formation ,1800,CH,0.2,-24,,1,HAYE83..93
,Yelma Formation ,1800,CARB,0.13,-23,,1,HAYE83..93
,Chelmsford Formation ,1850,SH,5.1,-31.6,,1,HAYE83..93
,Chuanlinggou Formation ,1850,SH,3.5,-32.1,,4,PPRG
,Onwatin Formation ,1850,SH,38,-30.6,,2,HAYE83..93
,Onwatin Formation ,1850,SH,,-36.9,,1,THOD62.565
,Koolpin Formation ,1885,CH,,-31,,1,OEHL721246
,Koolpin Formation ,1885,CH,1.13,-30.6,,1,PPRG
,Fontano Formation ,1900,SH,6.55,-28.3,,2,PPRG
,Golden Dyke Formation ,1900,SH,,-15.8,,1,MCKI74 .591
,Pekanatui Point Formation ,1900,LS,,0.4,,1,VEIZ761387
,Rove Formation ,1900,SH,,-33.6,,1,BARG77 .425
,Rove Formation ,1900,SH,,-35.3,,2,JACK78. 335
,Rove Formation ,1900,SH,8.1,-32.4,,1,HAYE83 ..93
,Rove Formation ,1900,SH,4,-32,,1,LEVE754706
,Rove Formation ,1900,SH,15.18,-30.8,,4,PPRG
,Rove Formation ,1900,CARB,0.51,-31.7,,1,PPRG
,Spartan Group ,1900,SH,6.46,-29.9,,,PPRG
,Umkondo Group ,1900,DOL,,,14,1,SCHI75...1
,Union Island Group ,1900,SH,20.83,-39.4,,1,PPRG
,Utsingi Formation ,1900,LS,,,2.1,1,VEIZ761387
,Epworth Group ,1925,DOL,,,0.2,1,SCHI75...1
,Rocknest Formation ,1925,CARB,0.22,-24.5,,23,PPRG
,Rocknest Formation ,1925,CH,0.49,-14.3,,7,PPRG
,Rocknest Formation ,1925,DOL,,,1,6,PPRG
,Rocknest Formation ,1925,DOL,,,1.6,3,PPRG
,Rocknest Formation ,1925,DOL,,,0.3,2,VEIZ761387
,Grythyttan Slate ,1950,SH,,-28.6,,3,EHLI80.145
,Tyler Formation ,1950,"CH, CARB",7.24,-31.7,,3,PPRG
