Formation,Std Fm. Name,Age (Mya),Lithology,Lithology Code,VL Lith Name 1,Std Lithology,Std Lithology Code,check codes,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,"Duplicate Search Key (Std Name, Age, Std Lith Code, TOC, d13-org, d13-org)",Countif Dupl.,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Gamohaan,Gamohaan,2550,bif,,bif,bif,BIF,#N/A,,,-5.35,2,Beukes et al. (1990),Krissansen-Totton 2015,FALSE,Gamohaan2550BIF-5.35,0,FALSE,X,NP (bif),,
Gamohaan Fm.,Gamohaan,2521,carb,,carb,carb,CARB,#N/A,,,-0.3,1,Guo et al. (2009),Krissansen-Totton 2015,FALSE,Gamohaan2521CARB-0.3,0,FALSE,X,NP (bif),,
Gamohaan Formation ,Gamohaan,2450,,DOL,dolostone,dolostone,DOL,TRUE,3,-36.1,,,KLEI87..81,Strauss 1992 17.3 (Prev),FALSE,Gamohaan2450DOL3-36.1,0,FALSE,,,,
Gamohaan Formation ,Gamohaan,2450,,CH,chert,chert,CH,TRUE,9.6,-37.4,,,KLEI87..81,Strauss 1992 17.3 (Prev),FALSE,Gamohaan2450CH9.6-37.4,0,FALSE,,,,
Gamohaan Formation ,Gamohaan,2450,,CH,chert,chert,CH,TRUE,9.6,-37.4,,1,KLEI87..81,Strauss 1992 17.4 (Summary),TRUE,Gamohaan2450CH9.6-37.4,1,TRUE,,,,
Gamohaan Formation ,Gamohaan,2450,,DOL,dolostone,dolostone,DOL,TRUE,3,-36.1,,1,KLEI87..81,Strauss 1992 17.4 (Summary),TRUE,Gamohaan2450DOL3-36.1,1,TRUE,,,,
Gamohaan Formation ,Gamohaan,2450,,CARB,carbonate,carbonate,CARB,TRUE,1.51,-33.8,,11,PPRG,Strauss 1992 17.4 (Summary),TRUE,Gamohaan2450CARB1.51-33.8,0,FALSE,,,,
Gamohaan Formation ,Gamohaan,2450,,SH,shale,shale,SH,TRUE,22.05,-39.1,,3,PPRG,Strauss 1992 17.4 (Summary),TRUE,Gamohaan2450SH22.05-39.1,0,FALSE,,,,
Gamohaan Formation ,Gamohaan,2450,,CH,chert,chert,CH,TRUE,0.65,-33.2,,4,PPRG,Strauss 1992 17.4 (Summary),TRUE,Gamohaan2450CH0.65-33.2,0,FALSE,,,,
Gamonaan Formation ,Gamohaan,2450,,SH,shale,shale,SH,TRUE,,-34.9,,1,PPRG,Strauss 1992 17.10 (Summary),TRUE,Gamohaan2450SH-34.9,0,FALSE,,,,
Gamonaan Formation ,Gamohaan,2450,,CARB,carbonate,carbonate,CARB,TRUE,,-33.7,,5,PPRG,Strauss 1992 17.10 (Summary),TRUE,Gamohaan2450CARB-33.7,0,FALSE,,,,
"Gandarela Formation, Minas Gerais",Gandarella,2420,carb,,carb,carb,CARB,#N/A,,,-0.71744186,86,Maheshwari et al. (2010),Krissansen-Totton 2015,FALSE,Gandarella2420CARB-0.717441860465117,0,FALSE,,,,
Gandarella,Gandarella,2200,shale,,shale,shale,SH,#N/A,,-22.3,,4,schid76,Krissansen-Totton 2015,FALSE,Gandarella2200SH-22.3,0,FALSE,,,,
Gandarella,Gandarella,2200,dol,,dol,dol,DOL,#N/A,,,-0.8,6,schid76b,Krissansen-Totton 2015,FALSE,Gandarella2200DOL-0.8,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,SH,shale,shale,SH,TRUE,,-21.4,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200SH-21.4,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,SH,shale,shale,SH,TRUE,,-22.5,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200SH-22.5,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,SH,shale,shale,SH,TRUE,,-22.5,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200SH-22.5,1,TRUE,,,,
Gandarella Formation ,Gandarella,2200,,SH,shale,shale,SH,TRUE,,-22.9,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200SH-22.9,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,DOL,dolostone,dolostone,DOL,TRUE,,,-1,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200DOL-1,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,DOL,dolostone,dolostone,DOL,TRUE,,,-1.3,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200DOL-1.3,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,DOL,dolostone,dolostone,DOL,TRUE,,,-3.2,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200DOL-3.2,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,DOL,dolostone,dolostone,DOL,TRUE,,,0.1,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200DOL0.1,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,DOL,dolostone,dolostone,DOL,TRUE,,,-1.1,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200DOL-1.1,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,DOL,dolostone,dolostone,DOL,TRUE,,,1.6,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200DOL1.6,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,LS,limestone,limestone,LS,TRUE,,,-3.4,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,Gandarella2200LS-3.4,0,FALSE,,,,
Gandarella Formation ,Gandarella,2200,,SH,shale,shale,SH,TRUE,,-22.3,,4,SCHI76.344,Strauss 1992 17.4 (Summary),TRUE,Gandarella2200SH-22.3,1,TRUE,,,,
Gandarella Formation ,Gandarella,2200,,DOL,dolostone,dolostone,DOL,TRUE,,,-0.8,6,SCHI76.344,Strauss 1992 17.4 (Summary),TRUE,Gandarella2200DOL-0.8,1,TRUE,,,,
Gaoyuzhuang,Gaoyuzhuang,1560,carbonate,,carbonate,carbonate,CARB,#N/A,,-30.76885246,,61,Guo et al. (2013) Precambrian Research,Krissansen-Totton 2015,FALSE,Gaoyuzhuang1560CARB-30.7688524590164,0,FALSE,,,,
Gaoyuzhuang,Gaoyuzhuang,1425,chert,,chert,chert,CH,#N/A,1.19,-30.9,,8,pprg92,Krissansen-Totton 2015,FALSE,Gaoyuzhuang1425CH1.19-30.9,0,FALSE,,,,
Gaoyuzhuang,Gaoyuzhuang,1425,chert,,chert,chert,CH,#N/A,1.3,-27.4,,5,scho84,Krissansen-Totton 2015,FALSE,Gaoyuzhuang1425CH1.3-27.4,0,FALSE,,,,
"Gaoyuzhuang Fm, Jixian",Gaoyuzhuang,1550,dol,,dol,dol,DOL,#N/A,,,-0.5,2,xiao97,Krissansen-Totton 2015,FALSE,Gaoyuzhuang1550DOL-0.5,0,FALSE,,,,
Gaoyuzhuang Fm.,Gaoyuzhuang,1434,Dol.,,Dol.,Dol.,DOL,#N/A,,,-0.319047619,21,Chu et al. (2007),Krissansen-Totton 2015,FALSE,Gaoyuzhuang1434DOL-0.319047619047619,0,FALSE,,,,
Gaoyuzhuang Formation ,Gaoyuzhuang,1425,,CH,chert,chert,CH,TRUE,1.54,-29.3,,,SCHO84.335,Strauss 1992 17.3 (Prev),FALSE,Gaoyuzhuang1425CH1.54-29.3,0,FALSE,,,,
Gaoyuzhuang Formation ,Gaoyuzhuang,1425,,CH,chert,chert,CH,TRUE,0.61,-26.5,,,SCHO84.335,Strauss 1992 17.3 (Prev),FALSE,Gaoyuzhuang1425CH0.61-26.5,0,FALSE,,,,
Gaoyuzhuang Formation ,Gaoyuzhuang,1425,,CH,chert,chert,CH,TRUE,0.61,-26.4,,,SCHO84.335,Strauss 1992 17.3 (Prev),FALSE,Gaoyuzhuang1425CH0.61-26.4,0,FALSE,,,,
Gaoyuzhuang Formation ,Gaoyuzhuang,1425,,CH,chert,chert,CH,TRUE,0.54,-27.6,,,SCHO84.335,Strauss 1992 17.3 (Prev),FALSE,Gaoyuzhuang1425CH0.54-27.6,0,FALSE,,,,
Gaoyuzhuang Formation ,Gaoyuzhuang,1425,,CH,chert,chert,CH,TRUE,0.61,-27.4,,,SCHO84.335,Strauss 1992 17.3 (Prev),FALSE,Gaoyuzhuang1425CH0.61-27.4,0,FALSE,,,,
Gaoyuzhuang Formation ,Gaoyuzhuang,1425,,CH,chert,chert,CH,TRUE,1.3,-27.4,,5,SCHO84.335,Strauss 1992 17.4 (Summary),TRUE,Gaoyuzhuang1425CH1.3-27.4,1,TRUE,,,,
Gaoyuzhuang Formation ,Gaoyuzhuang,1425,,CH,chert,chert,CH,TRUE,1.19,-30.9,,8,PPRG,Strauss 1992 17.4 (Summary),TRUE,Gaoyuzhuang1425CH1.19-30.9,1,TRUE,,,,
Gaoyuzhuang Formation ,Gaoyuzhuang,1425,,CH,chert,chert,CH,TRUE,,-31.2,,2,PPRG,Strauss 1992 17.10 (Summary),TRUE,Gaoyuzhuang1425CH-31.2,0,FALSE,,,,
Ghasiar,Ghasiar,1920,shale,,shale,shale,SH,#N/A,0.8,-24.3875,,40,Papineau et al. (2009) PrecRes,Krissansen-Totton 2015,FALSE,Ghasiar1920SH0.8-24.3875,0,FALSE,,,,
Gibraltar,Gibraltar,2000,carb,,carb,carb,CARB,#N/A,,,-0.7,1,schid83,Krissansen-Totton 2015,FALSE,Gibraltar2000CARB-0.7,0,FALSE,,,,
Gibraltar Formation ,Gibraltar,2000,,CARB,carbonate,carbonate,CARB,TRUE,,,-0.7,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Gibraltar2000CARB-0.7,1,TRUE,,,,
Gibraltar Formation ,Gibraltar,2000,,CARB,carbonate,carbonate,CARB,TRUE,,,-0.7,1,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,Gibraltar2000CARB-0.7,2,TRUE,,,,
Glasgowbreen,Glasgowbreen,800,shale,,shale,shale,SH,#N/A,1.9,-28.7,,7,knoll86,Krissansen-Totton 2015,FALSE,Glasgowbreen800SH1.9-28.7,0,FALSE,,,,
Glasgowbreen,Glasgowbreen,800,shale,,shale,shale,SH,#N/A,,,-5.8,1,knoll86,Krissansen-Totton 2015,FALSE,Glasgowbreen800SH-5.8,0,FALSE,,,,
Glasgowbreen Formation ,Glasgowbreen,800,,SILT,siltstone,siltstone,SILT,TRUE,2.1,-26.6,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Glasgowbreen800SILT2.1-26.6,0,FALSE,,,,
Glasgowbreen Formation ,Glasgowbreen,800,,SH,shale,shale,SH,TRUE,1.2,-26.3,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Glasgowbreen800SH1.2-26.3,0,FALSE,,,,
Glasgowbreen Formation ,Glasgowbreen,800,,SH,shale,shale,SH,TRUE,1.3,-22.9,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Glasgowbreen800SH1.3-22.9,0,FALSE,,,,
Glasgowbreen Formation ,Glasgowbreen,800,,SH,shale,shale,SH,TRUE,1.5,-31,,,K.NOL86.832,Strauss 1992 17.3 (Prev),FALSE,Glasgowbreen800SH1.5-31,0,FALSE,,,,
Glasgowbreen Formation ,Glasgowbreen,800,,SH,shale,shale,SH,TRUE,1.1,-31.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Glasgowbreen800SH1.1-31.1,0,FALSE,,,,
Glasgowbreen Formation ,Glasgowbreen,800,,SH,shale,shale,SH,TRUE,2,-33.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Glasgowbreen800SH2-33.1,0,FALSE,,,,
Glasgowbreen Formation ,Glasgowbreen,800,,SH,shale,shale,SH,TRUE,4.1,-29.8,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Glasgowbreen800SH4.1-29.8,0,FALSE,,,,
Glasgowbreen Formation ,Glasgowbreen,800,,SH,shale,shale,SH,TRUE,,,-5.8,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Glasgowbreen800SH-5.8,1,TRUE,,,,
Glasgowbreen Formation ,Glasgowbreen,800,,SH,shale,shale,SH,TRUE,1.9,-28.7,,7,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,Glasgowbreen800SH1.9-28.7,1,TRUE,,,,
Glasgowbreen Formation ,Glasgowbreen,800,,SH,shale,shale,SH,TRUE,,,-5.8,1,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,Glasgowbreen800SH-5.8,2,TRUE,,,,
Golden Dyke,Golden Dyke,1900,shale,,shale,shale,SH,#N/A,,-15.8,,1,mcki74,Krissansen-Totton 2015,FALSE,Golden Dyke1900SH-15.8,0,FALSE,,,,
Golden Dyke Formation ,Golden Dyke,1900,,SH,shale,shale,SH,TRUE,,-15.8,,,MCKI74.591,Strauss 1992 17.3 (Prev),FALSE,Golden Dyke1900SH-15.8,1,TRUE,,,,
Golden Dyke Formation ,Golden Dyke,1900,,SH,shale,shale,SH,TRUE,,-15.8,,1,MCKI74 .591,Strauss 1992 17.4 (Summary),TRUE,Golden Dyke1900SH-15.8,2,TRUE,,,,
Golden Dyke Formation ,Golden Dyke,1900,,SH,shale,shale,SH,TRUE,,-15.8,,,MCKI74.591,Strauss 1992 17.9 (Prev),FALSE,Golden Dyke1900SH-15.8,3,TRUE,,,,
Golden Dyke Formation ,Golden Dyke,1900,,SH,shale,shale,SH,TRUE,,-15.8,,1,MCKI74.591,Strauss 1992 17.10 (Summary),TRUE,Golden Dyke1900SH-15.8,4,TRUE,,,,
Gordon Lake Formation ,Gordon Lake,2259,,QUAR,quartzite,quartzite,QUAR,TRUE,0.07,-26.7,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,Gordon Lake2259QUAR0.07-26.7,0,FALSE,,,,
Gordon Lk,Gordon Lake,2250,qtzite,,qtzite,qtzite,QUAR,#N/A,0.07,-26.7,,1,pprg92,Krissansen-Totton 2015,FALSE,Gordon Lake2250QUAR0.07-26.7,0,FALSE,,,,
Gorge Creek,Gorge Creek,3200,shale,,shale,shale,SH,#N/A,40.5,-30.3,,4,hayes83,Krissansen-Totton 2015,FALSE,Gorge Creek3200SH40.5-30.3,0,FALSE,,,,
Gorge Creek,Gorge Creek,3200,chert,,chert,chert,CH,#N/A,0.08,-29.8,,1,pprg92,Krissansen-Totton 2015,FALSE,Gorge Creek3200CH0.08-29.8,0,FALSE,,,,
Gorge Creek,Gorge Creek,3200,chert,,chert,chert,CH,#N/A,4.8,-27.6,,1,hayes83,Krissansen-Totton 2015,FALSE,Gorge Creek3200CH4.8-27.6,0,FALSE,,,,
Gorge Creek,Gorge Creek,3200,shale,,shale,shale,SH,#N/A,1.203098038,-30.93886333,,8,UW data (unpublished),Krissansen-Totton 2015,FALSE,Gorge Creek3200SH1.20309803816689-30.9388633296978,0,FALSE,,,,
Gorge Creek Group ,Gorge Creek,3200,,CH,chert,chert,CH,TRUE,4.8,-27.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Gorge Creek3200CH4.8-27.6,1,TRUE,,,,
Gorge Creek Group ,Gorge Creek,3200,,SH,shale,shale,SH,TRUE,40,-30.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Gorge Creek3200SH40-30.1,0,FALSE,,,,
Gorge Creek Group ,Gorge Creek,3200,,SH,shale,shale,SH,TRUE,43,-31.5,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Gorge Creek3200SH43-31.5,0,FALSE,,,,
Gorge Creek Group ,Gorge Creek,3200,,SH,shale,shale,SH,TRUE,39,-31.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Gorge Creek3200SH39-31.8,0,FALSE,,,,
Gorge Creek Group ,Gorge Creek,3200,,SH,shale,shale,SH,TRUE,40,-27.9,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Gorge Creek3200SH40-27.9,0,FALSE,,,,
Gorge Creek Group ,Gorge Creek,3200,,SH,shale,shale,SH,TRUE,40.5,-30.3,,4,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Gorge Creek3200SH40.5-30.3,1,TRUE,,,,
Gorge Creek Group ,Gorge Creek,3200,,CH,chert,chert,CH,TRUE,4.8,-27.6,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Gorge Creek3200CH4.8-27.6,2,TRUE,,,,
Gorge Creek Group ,Gorge Creek,3200,,CH,chert,chert,CH,TRUE,0.08,-29.8,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,Gorge Creek3200CH0.08-29.8,1,TRUE,,,,
Gorge Creek Group ,Gorge Creek,3200,,SH,shale,shale,SH,TRUE,,-29.9,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,Gorge Creek3200SH-29.9,0,FALSE,,,,
Gorge Creek Group ,Gorge Creek,3200,,SH,shale,shale,SH,TRUE,,-29.9,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,Gorge Creek3200SH-29.9,1,TRUE,,,,
Gowganda,Gowganda,2250,silt,,silt,silt,SILT,#N/A,0.05,-27.8,,8,pprg92,Krissansen-Totton 2015,FALSE,Gowganda2250SILT0.05-27.8,0,FALSE,,,,
Gowganda,Gowganda,2250,shale,,shale,shale,SH,#N/A,,-19.5,,1,leven75,Krissansen-Totton 2015,FALSE,Gowganda2250SH-19.5,0,FALSE,,,,
Gowganda,Gowganda,2250,shale,,shale,shale,SH,#N/A,,-27.4,,1,jack78,Krissansen-Totton 2015,FALSE,Gowganda2250SH-27.4,0,FALSE,,,,
Gowganda Formation ,Gowganda,2250,,SH,shale,shale,SH,TRUE,-27.4,,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,Gowganda2250SH-27.4,1,TRUE,,,,
Gowganda Formation ,Gowganda,2250,,SH,shale,shale,SH,TRUE,-19.5,,,,LEVE754706,Strauss 1992 17.3 (Prev),FALSE,Gowganda2250SH-19.5,1,TRUE,,,,
Gowganda Formation ,Gowganda,2250,,SH,shale,shale,SH,TRUE,,-27.4,,1,JACK78.335,Strauss 1992 17.4 (Summary),TRUE,Gowganda2250SH-27.4,2,TRUE,,,,
Gowganda Formation ,Gowganda,2250,,SH,shale,shale,SH,TRUE,,-19.5,,1,LEVE754706,Strauss 1992 17.4 (Summary),TRUE,Gowganda2250SH-19.5,2,TRUE,,,,
Gowganda Formation ,Gowganda,2250,,SILT,siltstone,siltstone,SILT,TRUE,0.05,-27.8,,8,PPRG,Strauss 1992 17.4 (Summary),TRUE,Gowganda2250SILT0.05-27.8,1,TRUE,,,,
Greyson,Greyson,1475,shale,,shale,shale,SH,#N/A,1.22,-29.8,,2,pprg92,Krissansen-Totton 2015,FALSE,Greyson1475SH1.22-29.8,0,FALSE,,,,
Greyson,Greyson,1470,shale,,shale,shale,SH,#N/A,0.305501183,-30.118184,,10,Stueeken (2013) GCA,Krissansen-Totton 2015,FALSE,Greyson1470SH0.30550118277949-30.118184,0,FALSE,,,,
Greyson,Greyson,1470,?,,?,?,UND,#N/A,,,0.25170925,4,Stueeken (2013) GCA,Krissansen-Totton 2015,FALSE,Greyson1470UND0.25170925,0,FALSE,,,,
Greyson Shale ,Greyson,1420,,SH,shale,shale,SH,TRUE,1.22,-29.8,,2,PPRG,Strauss 1992 17.4 (Summary),TRUE,Greyson1420SH1.22-29.8,0,FALSE,,,,
Greyson Shale ,Greyson,1420,,SILT,siltstone,siltstone,SILT,TRUE,,-28.3,,1,PPRG,Strauss 1992 17.10 (Summary),TRUE,Greyson1420SILT-28.3,0,FALSE,,,,
Griquatown,Griquatown,2475,bif,,bif,bif,BIF,#N/A,,,-8.93,9,kaufman96,Krissansen-Totton 2015,FALSE,Griquatown2475BIF-8.93,0,FALSE,X,NP (bif),,
Gruis,Gruis,672,carb,,carb,carb,CARB,#N/A,,,4.402857143,21,Halverson et al. (2005),Krissansen-Totton 2015,FALSE,Gruis672.157961004915CARB4.40285714285714,0,FALSE,,,,
Grusdievbreen,Grusdievbreen,814,carb,,carb,carb,CARB,#N/A,,,2.721210609,169,Halverson et al. (2005),Krissansen-Totton 2015,FALSE,Grusdievbreen813.866769177896CARB2.72121060862215,0,FALSE,,,,
Grusdievbreen,Grusdievbreen,775,lime ,,lime ,lime ,LS,#N/A,1.3,-26.7,,3,knoll86,Krissansen-Totton 2015,FALSE,Grusdievbreen775LS1.3-26.7,0,FALSE,,,,
Grusdievbreen,Grusdievbreen,775,carb,,carb,carb,CARB,#N/A,,,4.5,6,knoll86,Krissansen-Totton 2015,FALSE,Grusdievbreen775CARB4.5,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,LS,limestone,limestone,LS,TRUE,0.5,-29.5,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Grusdievbreen770LS0.5-29.5,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,LS,limestone,limestone,LS,TRUE,2.5,-25.4,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Grusdievbreen770LS2.5-25.4,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,LS,limestone,limestone,LS,TRUE,0.9,-25.3,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Grusdievbreen770LS0.9-25.3,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,LS,limestone,limestone,LS,TRUE,,,0.9,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Grusdievbreen770LS0.9,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,CARB,carbonate,carbonate,CARB,TRUE,,,7,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Grusdievbreen770CARB7,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,LS,limestone,limestone,LS,TRUE,,,6.6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Grusdievbreen770LS6.6,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,SH,shale,shale,SH,TRUE,,,5.1,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Grusdievbreen770SH5.1,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,DOL,dolostone,dolostone,DOL,TRUE,,,3.1,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Grusdievbreen770DOL3.1,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,LS,limestone,limestone,LS,TRUE,,,4.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Grusdievbreen770LS4.4,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,LS,limestone,limestone,LS,TRUE,1.3,-26.7,,3,K.NOL86.823,Strauss 1992 17.4 (Summary),TRUE,Grusdievbreen770LS1.3-26.7,0,FALSE,,,,
Grusdievbreen Formation ,Grusdievbreen,770,,CARB,carbonate,carbonate,CARB,TRUE,,,4.5,6,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,Grusdievbreen770CARB4.5,0,FALSE,,,,
Grythyttan,Grythyttan,1950,shale,,shale,shale,SH,#N/A,,-28.6,,3,ehli80,Krissansen-Totton 2015,FALSE,Grythyttan1950SH-28.6,0,FALSE,,,,
Grythyttan Slate ,Grythyttan,1950,,SH,shale,shale,SH,TRUE,,-30.3,,,EHLI80.145,Strauss 1992 17.3 (Prev),FALSE,Grythyttan1950SH-30.3,0,FALSE,,,,
Grythyttan Slate ,Grythyttan,1950,,SH,shale,shale,SH,TRUE,,-27.3,,,EHLI80.145,Strauss 1992 17.3 (Prev),FALSE,Grythyttan1950SH-27.3,0,FALSE,,,,
Grythyttan Slate ,Grythyttan,1950,,SH,shale,shale,SH,TRUE,,-28.2,,,EHLI80.145,Strauss 1992 17.3 (Prev),FALSE,Grythyttan1950SH-28.2,0,FALSE,,,,
Grythyttan Slate ,Grythyttan,1950,,SH,shale,shale,SH,TRUE,,-28.6,,3,EHLI80.145,Strauss 1992 17.4 (Summary),TRUE,Grythyttan1950SH-28.6,1,TRUE,,,,
Gunflint,Gunflint,1875,shale,,shale,shale,SH,#N/A,,-27.1,,2,barg77,Krissansen-Totton 2015,FALSE,Gunflint1875SH-27.1,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,shale,,shale,shale,SH,#N/A,16.06,-31.9,,1,pprg92,Krissansen-Totton 2015,FALSE,Gunflint1875SH16.06-31.9,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,chert,,chert,chert,CH,#N/A,1.55,-32.6,,57,pprg92,Krissansen-Totton 2015,FALSE,Gunflint1875CH1.55-32.6,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,chert,,chert,chert,CH,#N/A,,-27.7,,7,barg77,Krissansen-Totton 2015,FALSE,Gunflint1875CH-27.7,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,chert,,chert,chert,CH,#N/A,0.4,-30.1,,3,hayes83,Krissansen-Totton 2015,FALSE,Gunflint1875CH0.4-30.1,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,chert,,chert,chert,CH,#N/A,,-35.6,,2,oehl72,Krissansen-Totton 2015,FALSE,Gunflint1875CH-35.6,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,chert,,chert,chert,CH,#N/A,,-15.6,,1,jack78,Krissansen-Totton 2015,FALSE,Gunflint1875CH-15.6,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,chert,,chert,chert,CH,#N/A,,-30.7,,1,hoer67,Krissansen-Totton 2015,FALSE,Gunflint1875CH-30.7,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,chert,,chert,chert,CH,#N/A,,-33.1,,1,smit70,Krissansen-Totton 2015,FALSE,Gunflint1875CH-33.1,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,chert,,chert,chert,CH,#N/A,,-29.2,,1,hoer67,Krissansen-Totton 2015,FALSE,Gunflint1875CH-29.2,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,carb,,carb,carb,CARB,#N/A,5.98,-32.7,,10,pprg92,Krissansen-Totton 2015,FALSE,Gunflint1875CARB5.98-32.7,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,carb,,carb,carb,CARB,#N/A,9.4,-34.7,,1,hayes83,Krissansen-Totton 2015,FALSE,Gunflint1875CARB9.4-34.7,0,FALSE,X,NP (bif formation),,
Gunflint,Gunflint,1875,lime,,lime,lime,LS,#N/A,,,-8.6,29,winter92,Krissansen-Totton 2015,FALSE,Gunflint1875LS-8.6,0,FALSE,X,NP (bif),,
Gunflint,Gunflint,1875,shale,,shale,shale,SH,#N/A,,,-1,8,winter92,Krissansen-Totton 2015,FALSE,Gunflint1875SH-1,0,FALSE,X,NP (bif),,
Gunflint,Gunflint,1875,chert,,chert,chert,CH,#N/A,,,-3.7,42,winter92,Krissansen-Totton 2015,FALSE,Gunflint1875CH-3.7,0,FALSE,X,NP (bif),,
Gunflint,Gunflint,1875,bif,,bif,bif,BIF,#N/A,,,-3.3,70,winter92,Krissansen-Totton 2015,FALSE,Gunflint1875BIF-3.3,0,FALSE,X,NP (bif),,
Gunflint,Gunflint,1875,chert,,chert,chert,CH,#N/A,,,-2.9,1,hoering62,Krissansen-Totton 2015,FALSE,Gunflint1875CH-2.9,0,FALSE,X,NP (bif),,
Gunflint Iron Fm,Gunflint,1878,shale,,shale,shale,SH,#N/A,0.472566372,-30.87192308,,104,Godfrey et al. (2013) Geology,Krissansen-Totton 2015,FALSE,Gunflint1878SH0.472566371681416-30.8719230769231,0,FALSE,X,NP (bif formation),,
