Unit,Age (Ma),Reference Code,Lithology,C (%),H (%),N (%),H/C,N/C,delCorg (‰) (PDB),
Wonoka Formation ,585,MCKI76.163,CARB,77.9,3.1,2.7,0.47,0,,
Pertatataka Formation ,610,MCKI80.187,SH,78,0,0,0.66,0,,
Brachina Formation ,650,MCKI74.591,SH,0,0,0,0.15,0,-27.9,
Brachina Formation ,650,MCKI74.591,SH,0,0,0,0.11,0,-18.8,
Brachina Formation ,650,MCKI74.591,SH,0,0,0,0.06,0,-14.7,
Umberatana Group ,675,MCKI76.163,,81.2,3.4,0.9,0.49,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,0,0,0,0.17,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,87.1,0,0,0.25,0,-24.2,
Tapley Hill Formation ,750,MCKI75.345,SH,90.7,0,0,0.11,0,-18.8,
Tapley Hill Formation ,750,MCKI75.345,SH,91.2,0,0,0.15,0,-22.9,
Tapley Hill Formation ,750,MCKI75.345,SH,90.9,0,0,0.15,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,90.8,0,0,0.18,0,-23.4,
Tapley Hill Formation ,750,MCKI75.345,SH,85.5,0,0,0.19,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,89.8,0,0,0.19,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,89.1,0,0,0.23,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,0,0,0,0.11,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,89.3,0,0,0.19,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,90.9,0,0,0.13,0,-23.8,
Tapley Hill Formation ,750,MCKI75.345,SH,94.7,0,0,0.11,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,96.4,0,0,0.09,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,96.8,0,0,0.06,0,-14.7,
Tapley Hill Formation ,750,MCKI75.345,SH,96.7,0,0,0.07,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,95.2,0,0,0.09,0,-17.5,
Tapley Hill Formation ,750,MCKI75.345,SH,95.3,0,0,0.05,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,97.6,0,0,0.01,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,98.3,0,0,0.06,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,98.1,0,0,0.05,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,97.5,0,0,0.04,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,94.7,0,0,0.09,0,,
Tapley Hill Formation ,750,MCKI75.345,SH,0,0,0,0.02,0,,
Tapley Hill Formation ,750,MCKI76.163,CARB,84,1.7,0.9,0.24,0,,
Skillogalee Dolomite ,770,MCKI80.187,CH,92.2,0,0,0.19,0,,
Skillogalee Dolomite ,770,MCK174.591,CARB,0,0,0,0.1,0,-10.8,
Skillogalee Dolomite ,770,DUNG72.699,CH,50.7,0.86,0.37,0.2,0,,
Skillogalee Dolomite ,770,MCKI76.163,CARB,90.9,0.8,0.5,0.1,0,,
Skillogalee Dolomite ,770,MCKI76.163,CARB,75.3,2.1,1,0.33,0,,
Skillogalee Dolomite ,770,MCKI76.163,CH,85.2,2.2,0.7,0.31,0,,
Skillogalee Dolomite ,770,MCKI76.163,CARB,82.2,2,0.7,0.27,0,,
Skillogalee Dolomite ,770,MCKI76.163,CARB,88.7,1.7,1.3,0.23,0,,
Burra Group ,800,HAYE83..93,CH,64,0.93,0.73,0.17,0.01,-23 .2,
"Black Mudstone, Utah ",830,LEVE754706,SH,0,0,0,0.1,0,-21.9,
Bitter Springs Formation ,850,HAYE83..93,CH,97,2.73,2.85,0.34,0.025,,
Bitter Springs Formation ,850,MCKI8O.187,CARB,0,0,0,0.28,0,,
Bitter Springs Formation ,850,MCK.I80.187,CARB,0,0,0,0.46,0,,
Bitter Springs Formation ,850,LEVE754706,CH,0,0,0,0.1,0,,
Bitter Springs Formation ,850,MCKI74.591,CARB,0,0,0,0.73,0,-18.6,
Bitter Springs Formation ,850,MCKI76.163,CARB,72.7,5,1.5,0.82,0,,
Nonesuch Shale ,1055,LEVE754706,SH,0,0,0,0.5,0,,
McMinn Formation ,1340,HAYE83..93,SH,67,4.42,1.63,0.79,0.021,-32.4,
McMinn Formation ,1340,HAYE83..93,SH,57,2.3,1.38,0.48,0.021,-32,
McMinn Formation ,1340,HAYE83..93,SH,85,2.87,2.41,0.4,0.025,-32.1,
