Formation,Age (Ma),PPRG Sample No.,Lithology,C (%),H (%),N (%),H/C,N/C,KCl,delCorg (‰) (PDB)
Chuanlinggou Formation ,1850,2139,SH,56.5,1.78,0.85,0.38,0.013,6.5,-31.3
Chuanlinggou Formation ,1850,2140,SH,67.5,1.86,0.84,0.33,0.011,7,-33
Chuanlinggou Formation ,1850,2144,SH,44.5,1.96,0.4,0.53,0.008,6.5,-32.7
Koolpin Formation ,1885,1261,CH,83.9,1.21,0.17,0.17,0.007,7,-30.4
Fontano Formation ,1900,1588,SH,61.2,0.69,0.28,0.14,0.004,7,-30.1
Rove Formation ,1900,1295,SH,73.5,2.85,1.46,0.47,0.017,6.5,-31.6
Rove Formation ,1900,2458,SH,64.4,2.25,1.3,0.42,0.018,6.5,-32.1
Rove Formation ,1900,2459,SH,79.2,3.36,1.32,0.51,0.014,6.5,-31.6
Union Island Group ,1900,1382,SH,79.6,1.53,1.06,0.23,0.012,7,-38.9
Rocknest Formation ,1925,1511,CARB,64.2,0.96,1.1,0.18,0.015,7,-24.1
Rocknest Formation ,1925,1516,CARB,67,2.5,0.99,0.45,0.013,7,-24.7
Rocknest Formation ,1925,1524,CARB,76.1,0.7,1.08,0.12,0.012,7,-23.1
Rocknest Formation ,1925,1524,CH,74.2,0.99,0.99,0.16,0.012,7,-24.2
Rocknest Formation ,1925,1582,CARB,87.7,0.79,0.61,0.11,0.006,7,-12.6
Tyler Formation ,1950,1363,SH,28.6,0.76,0.3,0.32,0.009,7,-31.8
Tyler Formation ,1950,1364,SH,55.2,1.19,0.53,0.26,0.008,7,-31.7
Gunflint Iroil Formation ,2090,1302,CH,22.6,0.6,0.39,0.32,0.015,6.5,-32.9
Gunflint Iroil Formation ,2090,2436,CH,69.3,2.06,1.46,0.36,0.018,6.5,-31.7
Gunflint Iroil Formation ,2090,2437,CARB,80.4,2.96,1.59,0.44,0.017,7,-31.7
Gunflint Iroil Formation ,2090,2444,CH,76.1,3.41,0.43,0.54,0.005,6.5,-33.3
Gunflint Iroil Formation ,2090,2453,CH,47,1.68,0.83,0.43,0.015,6.5,-33.1
Reivilo Formation ,2300,2531,SH,71.7,0.77,0.67,0.13,0.008,nd,-34.5
Reivilo Formation ,2300,2532,SH,74.5,2.14,0.46,0.35,0.005,7,-36.4
Reivilo Formation ,2300,2533,SH,81.8,2.1,0.4,0.31,0.004,7,-36.7
Klipfonteinheuwel Formation ,2325,1415,CH,37.2,0.41,0.45,0.13,0.01,7,-37.9
Gamohaan Formation ,2450,2512,CARB,75.7,1.71,0.6,0.27,0.007,7,-32.1
