Field ID,Stratigraphic Position Relative to Khc/PgFtu Contact [m],Percent Sand,Percent Silt,Percent Clay,Percent Organic,Rock Type,d13C [‰] (PDB),Standard Devation [‰],Weight Percent Organic Carbon,Excursion
Herman Ridge Section,,,,,,,,,,
MT02-305,-11.71,,,,,Mudstone,-24.68,0.03,0.8,
MT02-304,-11.91,,,,,Siltstone,-24.34,0.11,0.1,
MT02-303,-12.11,,,,,Siltstone,-24.69,0.15,0.1,
MT02-302,-12.41,,,,,Siltstone,-24.21,0.01,0.2,
MT02-301,-12.61,,,,,Siltstone,-24.58,0.1,0.2,
MT02-300,-12.81,,,,,Siltstone,-24.93,0.06,0.1,
MT02-299,-13.01,,,,,Siltstone,-24.44,0.05,0.2,
MT02-298,-13.21,,,,,Siltstone,-24.42,0.05,0.3,
MT02-297,-13.41,,,,,Siltstone,-23.99,0.14,0.2,
MT02-296,-13.61,,,,,Siltstone,-24.41,0.07,0.3,
MT02-295,-13.81,,,,,Siltstone,-24.06,0.07,0.3,
MT02-294,-14.01,,,,,Siltstone,-24.23,0.03,0.3,
MT02-293,-14.21,,,,,Sandstone,-24.87,0.1,0.1,
MT02-292,-14.41,,,,,Sandstone,-24.82,0.03,0.1,
MT02-291,-14.61,,,,,Sandstone,-24.47,0.14,0.3,
MT02-290,-14.81,16,75,7,2,Sandstone,-25.58,0.04,0.1,
MT02-289,-15.05,,,,,Sandstone,-24.36,0.07,0.2,
MT02-288,-15.24,,,,,Sandstone,-24.34,0.02,0.4,
MT02-287,-15.44,,,,,Sandstone,-24.67,0.02,0.1,
MT02-286,-15.64,,,,,Sandstone,-25.1,0.19,0.1,
MT02-285,-15.94,,,,,Mudstone,-24.36,0.12,0.1,
MT02-284,-16.14,6,18,53,24,Mudstone,-24.15,0.07,0.1,
MT02-283,-16.92,3,56,38,4,Sandstone,-23.94,0.01,0.1,
MT02-282,-19.14,,,,,Mudstone,-24.11,0.53,0,
MT02-281,-19.34,,,,,Mudstone,-24.12,0.12,0.1,
MT02-280,-19.54,,,,,Mudstone,-24.16,0.15,0.1,
MT02-279,-19.74,,,,,Mudstone,-23.86,0.1,0.1,
MT02-278,-19.94,,,,,Mudstone,-23.8,0.11,0.1,
MT02-277,-20.14,4,27,50,20,Siltstone,-23.97,0.13,0.1,
MT02-276,-20.36,,,,,Siltstone,-24,0.13,0.1,
MT02-275,-20.56,,,,,Siltstone,-24.23,0.07,0.2,
MT02-274,-20.76,,,,,Siltstone,-24.02,0.12,0.3,
MT02-273,-20.96,,,,,Siltstone,-24.21,0.02,0.2,
MT02-272,-21.16,,,,,Siltstone,-24.51,0.03,0.2,
MT02-271,-21.36,,,,,Sandstone,-24.19,0.04,0.2,
MT02-270,-21.56,,,,,Sandstone,-24.2,0.07,0.3,
MT02-269,-21.76,,,,,Sandstone,-24.45,0.07,0.4,
MT02-267,-22.16,0,63,23,15,Sandstone,-24.53,0.04,0.4,
MT02-266,-22.36,,,,,Sandstone,-24.76,0.04,0.5,
MT02-265,-22.56,,,,,Sandstone,-24.78,0.01,0.4,
MT02-264,-22.76,,,,,Sandstone,-24.5,0.06,0.3,
MT02-263,-23.53,64,29,1,6,Sandstone,-25.62,0.19,0.1,
MT02-262,-24.38,22,64,12,3,Sandstone,-24.56,0.06,0.2,
MT02-261,-24.57,,,,,Sandstone,-24.48,0.04,0.5,
MT02-260,-24.77,25,56,8,11,Sandstone,-24.62,0.18,0.2,
MT02-259,-24.97,,,,,Sandstone,-24.51,0.18,0.5,
MT02-258,-25.79,,,,,Sandstone,-24.64,0.11,0.1,
MT02-257,-26.79,,,,,Sandstone,-24.71,0.08,0.1,
MT02-256,-27.79,48,35,9,9,Sandstone,-25.51,0.01,0.1,
MT02-255,-28.79,,,,,Sandstone,-24.86,< 0.01,0.1,
MT02-254,-29.78,,,,,Sandstone,-25.27,0.09,0.1,
MT02-253,-30.94,5,35,58,3,Mudstone,-24.62,0.09,0.2,
MT02-252,-31.14,,,,,Mudstone,-24.28,0.15,0.2,
MT02-251,-31.34,0,30,70,0,Mudstone,-24.19,0.06,0.3,
MT02-250,-31.54,,,,,Mudstone,-24.69,0.03,0.3,
MT02-249,-31.75,,,,,Mudstone,-25.72,0.03,1,
MT02-248,-31.95,,,,,Mudstone,-24.5,0.08,0.2,
MT02-247,-32.15,,,,,Mudstone,-24.52,0.1,0.2,
MT02-246,-32.35,0,53,29,18,Mudstone,-24.66,0.08,0.2,
MT02-245,-32.55,,,,,Mudstone,-24.45,0.04,0.3,
MT02-244,-32.75,,,,,Mudstone,-24.44,0.05,0.3,
MT02-243,-32.95,,,,,Mudstone,-24.39,0.02,0.4,
MT02-242,-33.15,,,,,Mudstone,-24.49,0.06,0.4,
MT02-241,-34.06,,,,,Siltstone,-23.98,0.15,0.1,
MT02-240,-34.26,,,,,Siltstone,-23.53,0.12,0.1,
MT02-239,-34.46,,,,,Siltstone,-22.13,0.07,0.1,
MT02-238,-34.66,,,,,Siltstone,-24.19,0.12,0.1,
MT02-237,-34.86,0,41,24,34,Siltstone,-23.58,0.12,0.1,
MT02-236,-35.06,,,,,Siltstone,-23.42,0.16,0.1,
MT02-235,-35.26,,,,,Siltstone,-22.49,0.06,0,
MT02-234,-35.46,,,,,Mudstone,-24,0.16,0.1,
MT02-233,-35.66,,,,,Mudstone,-24.01,0.05,0.1,
MT02-232,-35.85,15,47,24,15,Mudstone,-24.28,0.17,0.2,
MT02-231,-36.09,0,52,48,0,Mudstone,-24.44,0.05,0.3,
