KEY,ID,Latitude,Longitude,Altitude (m),sampling date,strata description,stratigraphic section (m),TOC (%),u(TOC),1/TOC,d13CDOM (PDB),n,u(d13Cdom),d13Cn-alkanes,u(d13Cn-alkanes),u(d13Cmodel-plant),"d13Cmodel-plant (from Smith et al., 2007)",u(d13Cmodel-plant)hw16,d13CPOM,n,u(d13CPOM),d13CCMOM,n,u(d13CCMOM),d13CFMOM,n,u(d13CFMOM),fCMOC,u(fCMOC),fFMOC,u(fFMOC),fcoarse,u(fcoarse),ffine,u(ffine),d13CDOM-model ,u(d13CDOM-model),n(Ro) vitrinite,flitpinite,u(fliptinite),frecycled,u(frecycled),fvitrinite,u(vitrinite),d13Cliptinite,u(d13Cinertinite),d13Cvitrinite,u(d13Cvitrinite),d13Crecycled,u(d13Crecycled),d13CPOM-model ,u(d13CPOM-model)
20712,HW-10-024,44.02606,107.72733,1451,10-Aug,dark grey at the bottom and getting lighter with slick and slides,14.2,0.2,0.002,5,-26.81,1,0.3,,0.25,1.35,-31.6,1.372953022,-27.68,1,0.3,-27.09,1,0.3,-26.72,1,0.3,0.21,0.029849563,0.79,0.112291212,0.24,0.024,0.76,0.076,-26.7977,0.361464653,6,0.4,0.2,0.55,0.275,0.05,0.01,-32.85,1.378187215,-31.25,1.395528574,-24.1,0.3,-27.9575,1.658539855
20713,HW-10-025,44.026,107.72731,1456,10-Aug,red and grey mottles with slick and slides,15.2,0.09,0.009,11.11111111,-23.64,2,0.236158624,,0.25,1.35,-31.6,1.372953022,-26.25,1,0.3,-25.05,1,0.5,-23.8,1,0.5,0.2,0.04004048,0.8,0.160161918,0.17,0.017,0.83,0.083,-24.05,0.575327522,72,0.2,0.06,0.7,0.07,0.1,0.02,-32.85,1.378187215,-31.25,1.395528574,-24.1,0.3,-26.565,1.445578933
20714,HW-10-026,44.02598,107.72725,1456,10-Aug,dark grey with slick and slides,19.2,0.12,0.006,8.333333333,-26.1,2,0.143241571,,0.25,1.35,-31.4,1.372953022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20715,HW-10-027,44.02563,107.7286,1446,10-Aug,clearer grey silty with yellow mottles beginning of the yellow grey sequence,21.2,0.13,0.0065,7.692307692,-26.22,2,0.402554267,,0.25,1.35,-31.2,1.372953022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20716,HW-10-028,44.02565,107.72857,1450,10-Aug,coarser silt and sand with carbonates nodules,24.2,0.07,0.007,14.28571429,-25.62,2,1.419192786,,0.25,1.35,-30.9,1.372953022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20717,HW-10-029,44.02562,107.72855,1451,10-Aug,first thin yellow,24.5,0.08,0.008,12.5,-24.19,2,0.175946044,,0.25,1.35,-30.9,1.372953022,-26.53,2,0.651,-26.22,1,0.5,-23.82,1,0.5,0.34,0.068054378,0.66,0.132105558,0.39,0.039,0.61,0.061,-24.636,0.575267116,17,0.2,0.06,0.7,0.21,0.1,0.02,-32.15,1.378187215,-30.55,1.395528574,-24.1,0.3,-26.355,1.533094753
20718,HW-10-030,44.02562,107.72855,1451,10-Aug,grey parent of the yellow,26,0.05,0.005,20,-24.5,2,0.671205429,,0.25,1.35,-30.75,1.372953022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20719,HW-10-037,44.01879,107.72985,1422,10-Aug,red with grey mottles equivalent to big yellow,26.5,0.12,0.006,8.333333333,-26.04,2,0.322862418,,0.25,1.35,-30.7,1.372953022,-26.65,2,0.712,-26.34,1,0.3,-24.39,1,0.3,0.59,0.093354334,0.41,0.06487335,0.63,0.063,0.37,0.037,-25.5405,0.374637177,77,0.2,0.06,0.7,0.07,0.1,0.02,-31.95,1.378187215,-30.35,1.395528574,-24.1,0.3,-26.295,1.445726721
20720,HW-10-031,44.02565,107.72846,1453,10-Aug,thick yellow orange bed finely grained with slick and slides,27,0.1,0.01,10,-25.71,2,0.171257728,,0.25,1.35,-30.65,1.372953022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20721,HW-10-033,44.02565,107.72846,1453,10-Aug,thin first yellow bed above big yellow,28.5,0.11,0.0055,9.090909091,-24.68,2,0.056423233,,0.25,1.35,-30.5,1.372953022,-24.75,2,0.263,-25.64,1,0.3,-24.38,1,0.3,0.34,0.053791234,0.66,0.104418279,0.39,0.039,0.61,0.061,-24.8084,0.374631577,72,0.05,0.015,0.9,0.09,0.05,0.01,-31.75,1.378187215,-30.15,1.395528574,-24.1,0.3,-24.785,1.448591709
