,"Location 1: Chuckanut Fm, Washington USA",,,,,,,
KEY,Sample ID,Strat Ht (m),Lithology,N%,?15N (AIR),"C% (TOC, wt %)",C/N,?13C (VPDB)
23173,CF-094,422.75,clay,,,0.32,,-24.7
23174,CF-095,426,clay,,,0.71,,-24.7
23175,CF-096,428.5,silt,,,0.23,,-24.6
23176,CF-097,429,coal,0.88,1.5,58.14,76.96,-23.3
23177,CF-098,432.5,sand,,,0.06,,-24.4
23178,CF-101,444.5,coal,0.42,2.7,18.53,50.94,-25.8
23179,CF-102,445,silt,1.15,1.6,71.23,72.19,-23.5
23180,CF-103,446,coal,1,2.1,45.98,53.85,-24.7
23181,CF-104,446.25,silt,,,0.31,,-25.3
23181,CF-104 z,446.25,silt,,,0.29,,-25.1
23183,CF-105,448.5,silt,,,0.24,,-24.8
23184,CF-106,452,silt,,,0.11,,-23.7
23185,CF-107,452.5,silt,,,0.26,,-26
23186,CF-108,452.75,coal,0.22,1.3,8.33,45.18,-26.1
23186,CF-108 z,452.75,coal,,,4.76,,-26.1
23186,CF-108 zz,452.75,coal,,,3.88,,-26.4
23189,CF-109,453.5,silt,,,0.34,,-25.9
23190,CF-111,456.5,coal,,,2.46,,-25.4
23191,CF-113,458.5,silt,,,0.24,,-24.2
23192,CF-115,461,clay,,,0.34,,-23.6
23193,CF-116 B,464.5,coal,0.83,1.5,36.7,51.75,-25.2
23193,CF-116 Bz,464.5,coal,0.88,2.1,36.84,48.95,-25.1
23195,CF-118,469,clay,,,0.54,,-25
23196,CF-120,473,silt,,,0.31,,-24
23197,CF-123,477.25,coal,0.89,2.3,51.24,67.01,-23.2
23198,CF-125,483,coal,0.6,1.7,28.12,54.7,-25.9
23199,CF-127,487,coal,0.65,3,30.94,55.56,-25.7
23200,CF-129,491,silt,,,0.69,,-25.9
23201,CF-130,497,coal,0.73,2.5,70.25,112.02,-22.5
23202,CF-131,502.5,coal,0.34,2.8,17.8,60.38,-25.5
23203,CF-133,506.25,coal,0.21,3.2,6.34,34.75,-25.9
23204,CF-135,513.75,silt,,,0.24,,-23.8
23205,CF-137,518.5,coal,0.76,2,52.61,80.41,-23.6
23206,CF-139,521.5,coal,0.67,1.7,51.45,89.43,-22.3
23207,CF-140,522.75,silt,1.05,2.8,54.33,60.16,-25.8
23208,CF-142,525.25,coal,1.06,1.7,58.59,64.73,-24.1
23208,CF-142 z,525.25,coal,0.91,2,60.82,78.34,-24
23210,CF-143,525.5,coaly silt,0.23,1.8,15.96,82.6,-24.4
23211,CF-144,527,silt,,,0.19,,-24.2
23212,CF-145,529,coal,0.96,1.6,60.24,73.5,-22.4
23213,CF-146,530.75,coal,,,0.65,,-25.2
23214,CF-147,532.75,coaly sand,0.69,0.6,59.14,99.98,-22.6
23215,CF-148,534,coaly sand,0.67,1,47.18,82,-22.9
23216,CF-150,550,coal,0.18,2.1,8.48,53.57,-25.4
23217,CF-151,550.5,coal,0.97,1.5,65.08,78.6,-24
23218,CF-153,558.5,coal,0.73,2.1,37.06,59.17,-24.2
23219,CF-155,565.75,coal,0.92,2.2,48.7,61.99,-25
23220,CF-157,571,coaly silt,,,3.19,,-24.2
23221,CF-159,576.75,silt,,,1.03,,-25.6
23222,CF-162,580.25,coal,0.66,2.1,30.6,54.09,-25
23223,CF-164,587.25,coal,0.39,1.5,29.3,86.57,-23.6
23224,CF-165,589.75,silt,,,0.43,,-24.7
23225,CF-166,593.5,sand,,,0.06,,-23.9
23226,CF-167,595,sand,,,0.05,,-25
23226,CF-167 z,595,sand,,,0.05,,-25
23228,CF-168,602.5,sand,,,0.06,,-23.6
23229,CF-169,605.5,sand,,,0.05,,-22.8
23230,CF-170,608,clay,,,0.76,,-24.8
23231,CF-171,611,coal,0.76,2.9,48.19,74.07,-23.1
23231,CF-171 z,611,coal,0.51,2.5,28.12,63.81,-23.4
23233,CF-172,611.5,clay,,,0.61,,-25.3
23234,CF-173,629,sand,,,0.04,,-23.7
23235,CF-174,651.5,sand,,,0.1,,-24.3
23236,CF-175,715.5,silt,,,0.17,,-24.7
23237,CF-176,720.25,coal,,,0.53,,-23.1
23238,CF-177,721.75,silt,,,0.49,,-24.4
23239,CF-178,725,silt,,,0.37,,-24.6
23240,CF-179,727,sand,,,0.12,,-24.1
23241,CF-180,736.5,sand,,,1.45,,-23.4
23242,CF-181,743.25,coal,1.07,1.7,67.19,73.03,-21.6
23243,CF-182,745.75,coal,0.95,0.8,62.82,76.9,-28.7
23243,CF-182 z,745.75,coal,,,49.68,,-28.7
23245,CF-183,746,coal,1.12,2.3,61.6,64.23,-23.7
23246,CF-184,749,silt,,,0.81,,-24.6
23247,CF-185,752,coal,0.61,2,30.94,59.33,-25.5
23248,CF-186,754,coal,0.16,2.5,6.39,45.85,-25.7
23249,CF-187,755.75,coal,0.59,1.5,57.49,113.36,-22.4
23250,CF-188,757.25,coaly sand,0.29,1.4,17.07,68.52,-23.2
23251,CF-190,765.5,clay,,,4.55,,-26.3
23251,CF-190 z,765.5,clay,,,2.18,,-26.5
23253,CF-191,767.5,clay,,,0.74,,-24.6
