Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Amberi,Amberi,1920,shale,SH,6.096078431,-29.10784314,,51,Papineau et al. (2009) PrecRes,Krissansen-Totton 2015,FALSE,FALSE,,,,
Amelia,Amelia,1650,chert,CH,0.7,-29.4,,1,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Amelia,Amelia,1650,carb,CARB,0.95,-26,,6,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,chert,CH,0.7,-29.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,carbonate,CARB,0.8,-29.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,carbonate,CARB,0.9,-24.7,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,carbonate,CARB,0.9,-24.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,carbonate,CARB,1.7,-28.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,carbonate,CARB,1.3,-27.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,dolostone,DOL,0.1,-21.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,dolostone,DOL,,,-0.1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,carbonate,CARB,,,-1.2,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,carbonate,CARB,,,-1.1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,carbonate,CARB,0.95,-26,,6,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,carbonate,CARB,,,-0.8,3,CHI83.149,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Amelia Dolomite ,Amelia,1600,chert,CH,0.7,-29.4,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
"Amelia, McArthur Gp",Amelia,1650,carb,CARB,,,-0.8,3,schid83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Amisk,Amisk,1800,shale,SH,16.78,-26.4,,40,stra86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,34,-28.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,51,-28.2,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,17,-27.2,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,32,-27.2,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,20,-27.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,33,-28.3,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,19,-26.5,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,70,-28.8,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,27,-28.7,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,17,-28.8,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,16,-28.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
