Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-7,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,siderite,SID,,,-7.4,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-6.8,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,siderite,SID,,,-8.3,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-6.5,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,siderite,SID,,,-7.8,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-9,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Dales Gorge Member ,Dales Gorge,2500,siderite,SID,,,-9.8,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-9.7,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-9.6,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-15,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-11.4,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,siderite,SID,,,-11.1,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-12.9,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-11.1,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,siderite,SID,,,-12.5,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-11.1,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Dales Gorge Member ,Dales Gorge,2500,siderite,SID,,,-12.6,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-10.8,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,siderite,SID,,,-11,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,ankerite,ANK,,,-10.9,,BECK72.577,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,undetermined,UND,,,-6.2,2,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,banded iron formation,BIF,,,-8.6,3,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,siderite and ankerite,"SID, ANK",,,-9.8,46,BECK72.577,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,undetermined,UND,,,-5.1,,PPRG,Strauss 1992 17.2 (New),FALSE,FALSE,,,,
Dales Gorge Member ,Dales Gorge,2500,undetermined,UND,,,-7.3,,PPRG,Strauss 1992 17.2 (New),FALSE,FALSE,,,,
Damara,Damara,750,carb,CARB,,-21.2,,3,eich75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Damara,Damara,750,carb,CARB,,,2.6,11,schid75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Damara,Damara,750,carb,CARB,,,5.8,3,eich75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,-23.3,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,-19.8,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,limestone,LS,,-20.4,,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,,2.3,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,,2.8,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,limestone,LS,,,9.9,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,,6.2,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,,5.5,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,,3.9,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,,-1.1,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,,-1,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,limestone,LS,,,-0.8,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,,2.5,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,limestone,LS,,,-2.1,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,,-1.1,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Damara Supergroup ,Damara,750,dolostone,DOL,,,2.8,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Damara Supergroup ,Damara,750,limestone,LS,,,9.9,,EICH75.585,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Damara Supergroup ,Damara,750,carbonate,CARB,,-21.2,,3,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Damara Supergroup ,Damara,750,carbonate,CARB,,,2.6,11,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Damara Supergroup ,Damara,750,carbonate,CARB,,,5.8,3,EICH75.585,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Datanpo,Datanpo,675,shale,SH,,-24.9,,2,lamb87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Datanpo,Datanpo,675,carb,CARB,,,-4.6,1,lamb87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Datanpo Formatioil ,Datanpo,680,shale,SH,,-33.5,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Datanpo Formatioil ,Datanpo,680,shale,SH,,-16.3,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Datanpo Formatioil ,Datanpo,680,carbonate,CARB,,,-4.6,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Datanpo Formation ,Datanpo,680,shale,SH,,-24.9,,2,LAMB87.140,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Datanpo Formation ,Datanpo,680,carbonate,CARB,,-4.6,,1,LAMB87.140,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Dengying Fm.,Dengying,543,shale,SH,0.012,-24.86857143,,7,Cremonese et al. (2013) PrecRes,Krissansen-Totton 2015,FALSE,FALSE,,,,
Dengying Fm.,Dengying,543,shale,SH,,,-0.337142857,7,Cremonese et al. (2013) PrecRes,Krissansen-Totton 2015,FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,-26,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,-31.7,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,1.4,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,0.8,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,3.2,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,2.3,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,2.8,,LAMB87.14O,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,2.8,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,0.8,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,2.8,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,1.6,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,1.6,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,3.9,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,0.9,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,2.4,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,6.3,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,4.1,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,-28.8,,2,LAMB87.140,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dengying Formation ,Dengying,570,dolostone,DOL,,,2.5,15,LAMB87.140,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dengying Formation (Baimatuo member),Dengying,550,dol,DOL,0.076666667,-27.24,,3,Ishikawa et al. (2013),Krissansen-Totton 2015,FALSE,FALSE,,,,
Dengying Formation (Baimatuo member),Dengying,550,dol,DOL,,,0.786666667,3,Ishikawa et al. (2013),Krissansen-Totton 2015,FALSE,FALSE,,,,
Denying,Dengying,575,dol,DOL,,-28.8,,2,lamb87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Denying,Dengying,575,dol,DOL,,,2.5,15,lamb87,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Shibantan, Dengying",Dengying,540,lime,LS,,,4.6365,20,Tahata et al. (2013),Krissansen-Totton 2015,FALSE,FALSE,,,,
Derevnya,Derevnya,1025,lime,LS,,,0.7,1,bart01,Krissansen-Totton 2015,FALSE,FALSE,,,,
Derevnya Fm,Derevnya,1025,dol,DOL,,-28.4,,1,knoll95a,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Devil Ck Fm, Bangemall Gp",Devil Creek,1500,carb,CARB,,,-0.53,21,buick95,Krissansen-Totton 2015,FALSE,FALSE,,,,
Dhamdhar Block,Dhamdhar Block,1920,shale,SH,2.114285714,-23.37142857,,7,Papineau et al. (2009) PrecRes,Krissansen-Totton 2015,FALSE,FALSE,,,,
Diabaig,Diabaig,750,shale,SH,,-30.1,,1,jack78,Krissansen-Totton 2015,FALSE,FALSE,,,,
Diabaig Formation ,Diabaig,750,shale,SH,,-30.1,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Diabaig Formation ,Diabaig,750,shale,SH,,-30.1,,1,JACK78.335,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Dismal Lakes Group ,Dismal Lakes,1400,chert,CH,0.77,-28.5,,7,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dismal Lakes Group ,Dismal Lakes,1400,chert,CH,,-28.7,,1,PPRG,Strauss 1992 17.10 (Summary),TRUE,FALSE,,,,
Dismal Lk,Dismal Lakes,1400,chert,CH,0.77,-28.5,,7,pprg92,Krissansen-Totton 2015,FALSE,TRUE,,,,
Dixon Is. Formation,Dixon Island,3195,chert,CH,0.123142857,-27.4738961,,77,Kiyokawa et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,-2.1,,TUCK86..48,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,-1.7,,TUCK86..48,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,-1,,TUCK86..48,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,0.1,,TUCK86..48,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,1.3,,TUCK86..48,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,4.4,,TUCK86..48,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,5,,TUCK86..48,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,6.8,,TUCK86..48,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,-1.5,,TUCK86..48,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,-1.7,,TUCK86..48,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Dolomie Inferieur Formation ,Dolomie Inferieur,580,dolostone,DOL,,,1,10,TUCK86..48,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dolomite Inferieure,Dolomie Inferieur,575,dol,DOL,,,1,10,tuck86,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Dolomite Fm, Kuusamo","Dolomite Formation, Kuusamo",2200,dol,DOL,,,9.93,6,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Dolomite Fm, Kuusamo","Dolomite Formation, Kuusamo",2200,lime,LS,,,15.1,1,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Doomadgee, Fickling Gp",Doomadgee,1600,dol,DOL,,,-2.08,8,lindsay00,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Cap carb, Doushantuo",Doushantuo,635,dol,DOL,,,2.92125,8,Tahata et al. (2013),Krissansen-Totton 2015,FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-38.1,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-28,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-28,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-24.5,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-28.8,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-29.5,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-26.2,,,LAMB87.14O,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-26.7,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-27,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-28.4,,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,3,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,-1.8,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,4.1,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,2.7,,LAMB87.14O,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,6.1,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,-0.5,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,6.6,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,6.7,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,6.8,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,3.5,,LAMB87.14O,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,4.2,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,7.1,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,5.6,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,3.1,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,4.6,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,3.7,,LAMB87.140,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,shale,SH,,-28.5,,10,LAMB87.140,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Doushantou Formation ,Doushantuo,650,carbonate,CARB,,,4.1,16,LAMB87.140,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Doushantuo,Doushantuo,650,shale,SH,,-28.5,,10,lamb87,Krissansen-Totton 2015,FALSE,TRUE,,,,
Duoshantuo,Doushantuo,650,carb,CARB,,,4.1,16,lamb87,Krissansen-Totton 2015,FALSE,TRUE,,,,
Dracoisen,Dracoisen,575,shale,SH,8.1,-33.2,,3,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Dracoisen,Dracoisen,575,shale,SH,2.4,-25.6,,2,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Dracoisen,Dracoisen,575,carb,CARB,,,3.1,2,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Dracoisen,Dracoisen,575,lime,LS,,,4.2,11,fairc87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,shale,SH,2.5,-25.6,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,shale,SH,2.2,-25.5,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,shale,SH,13,-32.2,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,shale,SH,9.7,-34,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,shale,SH,1.5,-33.3,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,dolostone,DOL,,,10,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,shale,SH,,,-3.9,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,-3.5,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,-3.1,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,-2.9,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,10,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,10.9,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,10.1,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,5.1,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,4.4,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,10.2,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,2.3,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,2.4,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,shale,SH,8.1,-33.2,,3,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,shale,SH,2.4,-25.6,,2,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,carbonate and shale,"CARB, SH",,,3.1,2,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dracoisen Formation ,Dracoisen,580,limestone,LS,,,4.2,11,FAIR87.973,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Draken,Draken,776,carb,CARB,,,5.873462207,63,Halverson et al. (2005),Krissansen-Totton 2015,FALSE,FALSE,,,,
Draken,Draken,725,carb,CARB,2.17,-23.6,,6,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Draken,Draken,725,carb,CARB,,,5.7,9,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Draken Formation ,Draken,720,dolostone,DOL,1.3,-20.9,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,shale,SH,10,-24.4,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,dolostone,DOL,0.9,-23.7,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,carbonate,CARB,0.3,-22.2,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,dolostone,DOL,0.2,-23,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,limestone,LS,0.3,-27.4,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,dolostone,DOL,,,5.2,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,dolostone,DOL,,,6.8,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,shale,SH,,,2.9,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,shale,SH,,,4.5,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,dolostone,DOL,,,5.3,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,dolostone,DOL,,,6.6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,dolostone,DOL,,,7.8,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,limestone,LS,,,6.6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,limestone,LS,,,5.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Draken Formation ,Draken,720,carbonate and shale,"CARB, SH",2.17,-23.6,,6,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Draken Formation ,Draken,720,carbonate and shale,"CARB, SH",,,5.7,9,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Dresser Fm,Dresser,3490,silica,CH,3.091666667,-34.94333333,,6,Ueno et al. (2004) GCA,Krissansen-Totton 2015,FALSE,FALSE,,,,
Dripping Springs,Dripping Springs,1300,shale,SH,,-26.5,,3,jack78,Krissansen-Totton 2015,FALSE,FALSE,,,,
Dripping Springs Formation ,Dripping Springs,1300,shale,SH,,-27.5,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dripping Springs Formation ,Dripping Springs,1300,shale,SH,,-27,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Dripping Springs Formation ,Dripping Springs,1300,shale,SH,,-24.9,,,JACK.78.335,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
