Eon,Formation,Age (Ma),Lithology,TOC (mg/g),?C org ( ‰) PDB,?C carb ( ‰) PDB',Reference Code
,Grythyttan Slate ,1950,SH,,-30.3,,EHLI80.145
,Grythyttan Slate ,1950,SH,,-27.3,,EHLI80.145
,Grythyttan Slate ,1950,SH,,-28.2,,EHLI80.145
2000 to 2250 Ma,Barreiro Formation ,2000,SH,,-29,,SCHI76.344
,Barreiro Formation ,2000,SH,,-24.6,,SCHI76.344
,Barreiro Formation ,2000,SH,,-27.7,,SCHI76.344
,Barreiro Formation ,2000,SH,,-27.7,,SCHI76.344
,Barreiro Formation ,2000,SH,,-17.1,,SCHI76.344
,Barreiro Formation ,2000,SH,,-24.3,,SCHI76.344
,Barreiro Formation ,2000,SH,,-20.5,,SCHI76.344
,CALC Zone ,2000,CARB,2.1,-4.7,,BANE86.239
,CALC Zone ,2000,CARB,2.3,-5.9,,BANE86.239
,Duck Creek Dolomite ,2000,DOL,0.6,-23.6,,HAYE83..93
,Duck Creek Dolomite ,2000,DOL,0.3,-19.7,,HAYE83..93
,Duck Creek Dolomite ,2000,DOL,0.2,-19.8,,HAYE83..93
,Duck Creek Dolomite ,2000,DOL,0.2,-24.8,,HAYE83..93
,Duck Creek Dolomite ,2000,CH,0.1,-23.5,,HAYE83..93
,Duck Creek Dolomite ,2000,CH,0.2,-25.1,,HAYE83..93
,Duck Creek Dolomite ,2000,CH,0.2,-29.3,,HAYE83..93
,Duck Creek Dolomite ,2000,CARB,0.2,-25.9,,HAYE83..93
,Duck Creek Dolomite ,2000,CH,0.4,-22.2,,HAYE83..93
,Duck Creek Dolomite ,2000,CH,0.2,-19.6,,HAYE83..93
,Duck Creek Dolomite ,2000,CARB,0.14,-24.6,,HAYE83..93
,Duck Creek Dolomite ,2000,CARB,0.14,-20,,HAYE83..93
,Duck Creek Dolomite ,2000,CH,0.3,-22.7,,HAYE83..93
,Duck Creek Dolomite ,2000,DOL,,,1,SCHI83.149
,Duck Creek Dolomite ,2000,DOL,,,0.7,SCHI83.149
,Duck Creek Dolomite ,2000,DOL,,,0.5,SCHI83.149
,Duck Creek Dolomite ,2000,DOL,,,0.4,SCHI83.149
,Duck Creek Dolomite ,2000,CH,,,0.8,SCHI83.149
,Duck Creek Dolomite ,2000,LS,,,0.6,VEIZ761387
,Duck Creek Dolomite ,2000,DOL,,,0.4,VEIZ761387
,Duck Creek Dolomite ,2000,DOL,,,-0.4,BECK72.577
,Duck Creek Dolomite ,2000,LS,,,1,BECK72.577
,Duck Creek Dolomite ,2000,DOL,,,-2.1,BECK72.577
,Duck Creek Dolomite ,2000,DOL,,,-0.8,BECK72.577
,Gibraltar Formation ,2000,CARB,,,-0.7,SCHI83.149
,Hearne Formation ,2000,CARB,0.13,-25.1,,HAYE83..93
,Hearne Formation ,2000,CARB,,,1.6,SCHI83.149
,Kahochella Group ,2000,CARB,0.09,-21.8,,HAYE83..93
,Kahochella Group ,2000,CARB,,,-0.2,SCHI83.149
,Krivoj RogIron Formation ,2000,BIF,0.07,-21.9,,HAYE83..93
,Krivoj RogIron Formation ,2000,LS,,,-10.8,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-9.4,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-9.1,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-0.8,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-9.3,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-9.6,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-7.2,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-7.4,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-12.9,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-12.4,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-12,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-13.9,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-8.6,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-7.7,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-6.8,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-6.4,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-7.7,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-9,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-13.6,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-10.3,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-11.2,PERR81 83
,Krivoj RogIron Formation ,2000,LS,,,-9.3,PERR81..83
,Krivoj RogIron Formation ,2000,LS,,,-16.8,PERR81..83
,Menihek Formation ,2000,SH,,-31.1,,LEVE754706
,Randville Dolomite ,2000,DOL,,-17.9,,HOER62.190
,Randville Dolomite ,2000,DOL,,,3.5,HOER62.190
,Sahara Formation ,2000,SH,,-11.5,,SCHI76.344
,Sahara Formation ,2000,SH,,-21.1,,SCHI76.344
,Sahara Formation ,2000,SH,,-16.1,,SCHI76.344
,Taltheilei Formation ,2000,CARB,0.11,-22.8,,HAYE83..93
,Taltheilei Formation ,2000,CARB,,,1.3,SCHI83.149
,Karelian Dolomite ,2050,DOL,,-17.7,,EICH75.585
,Karelian Dolomite ,2050,DOL,,-13.3,,EICH75.585
,Karelian Dolomite ,2050,DOL,,,8.1,SCHI75...1
,Karelian Dolomite ,2050,DOL,,,3.1,SCHI75...1
,Karelian Dolomite ,2050,DOL,,,4.1,SCHI75...1
,Karelian Dolomite ,2050,DOL,,,4.5,SCHI75...1
,Karelian Dolomite ,2050,DOL,,,4.1,SCHI75... 1
,Karelian Dolomite ,2050,DOL,,,8.6,SCHI75...1
,Karelian Dolomite ,2050,DOL,,,3.5,SCHI75...1
,Karelian Dolomite ,2050,DOL,,,5.2,SCHI75...1
,Karelian Dolomite ,2050,DOL,,,4.1,EICH75.585
,Karelian Dolomite ,2050,DOL,,,3.1,EICH75.585
,Biwabik Iron Formation ,2090,BIF,,-34.5,,PERR731110
,Biwabik Iron Formation ,2090,BIF,,-33.6,,PERR731110
,Biwabik Iron Formation ,2090,BIF,,-33.6,,PERR73111O
,Biwabik Iron Formation ,2090,BIF,,-30.8,,PERR731110
,Biwabik Iron Formation ,2090,BIF,,-33.2,,PERR731110
,Gunflint Iron Formation ,2090,CH,,-37.2,,OEHL721246
,Gunflint Iron Formation ,2090,CH,,-34.1,,OEHL721246
,Gunflint Iron Formation ,2090,CH,,-25,,BARG77.425
,Gunflint Iron Formation ,2090,CH,,-29.1,,BARG77.425
,Gunflint Iron Formation ,2090,CH,,-29.2,,HEOR67..89
,Gunflint Iron Formation ,2090,CH,,-28.2,,BARG77.425
,Gunflint Iron Formation ,2090,CH,,-37,,BARG77.425
,Gunflint Iron Formation ,2090,CH,,-39.2,,BARG77.425
,Gunflint Iron Formation ,2090,SH,,-34,,BARG77.425
,Gunflint Iron Formation ,2090,CH,,-19.6,,BARG77.425
,Gunflint Iron Formation ,2090,CH,,-15.7,,BARG77.425
,Gunflint Iron Formation ,2090,SH,,-20.1,,BARG77.425
,Gunflint Iron Formation ,2090,CH,,-30.7,,HOER62.190
,Gunflint Iron Formation ,2090,CH,,-33.1,,SMIT70.659
,Gunflint Iron Formation ,2090,CH,,-15.6,,JACK78.335
,Gunflint Iron Formation ,2090,CARB,9.4,-34.7,,HAYE83..93
,Gunflint Iron Formation ,2090,CH,0.4,-30.5,,HAYE83..93
,Gunflint Iron Formation ,2090,CH,0.6,-32.8,,HAYE83..93
,Gunflint Iron Formation ,2090,CH,0.2,-27,,HAYE83..93
,Gunflint Iron Formation ,2090,CH,,,-2.9,HOER62.190
,Kasegalik Formation ,2100,CH,0.13,-24.5,,HAYE83..93
,Kasegalik Formation ,2100,CH,,,-0.6,SCHI83.149
,Lower Albanel Formation ,2100,DOL,0.2,-22.8,,HAYE83..93
,Lower Albanel Formation ,2100,DOL,,,6.4,SCHI83.149
,Lower Albanel Formation ,2100,DOL,,,6.3,SCHI83.149
,Manitounuk Group ,2100,DOL,,-18,,EICH75.585
,Manitounuk Group ,2100,DOL,0.14,-24,,HAYE83..93
,Manitounuk Group ,2100,DOL,0.11,-21.1,,HAYE83..93
,Manitounuk Group ,2100,DOL,,,-1.1,SCHI75...1
,Manitounuk Group ,2100,DOL,,,-2.2,SCHI75...1
,Manitounuk Group ,2100,DOL,,,-2.2,EICH75.585
,McLeary Formation ,2100,DOL,0.2,-25.6,,HAYE83..93
,McLeary Formation ,2100,CH,0.4,-25.3,,HAYE83..93
,McLeary Formation ,2100,CH,0.8,-26.4,,HAYE83..93
,McLeary Formation ,2100,CH,0.9,-22.4,,HAYE83..93
,McLeary Formation ,2100,CH,,,-0.4,SCHI83.149
,Svecofennian ,2100,LS,,,0.9,SCHI75...1
,Svecofennian ,2100,DOL,,,0.1,SCHI75...1
,Tabooes Formation ,2100,SH,,-29.5,,SCHI76.344
,Tabooes Formation ,2100,SH,,-27.6,,SCHI76.344
,Tabooes Formation ,2100,SH,,-27.6,,SCHI76.344
,Tabooes Formation ,2100,SH,,-28.5,,SCHI76.344
,Upper Albanel Formation ,2100,DOL,2.9,-31.4,,HAYE83..93
,Upper Albanel Formation ,2100,DOL,,,0.9,SCHI83.149
,Fecho do Funil Formation ,2150,SH,,-23.5,,SCHI76.344
,Gandarella Formation ,2200,SH,,-21.4,,SCHI76.344
,Gandarella Formation ,2200,SH,,-22.5,,SCHI76.344
,Gandarella Formation ,2200,SH,,-22.5,,SCHI76.344
,Gandarella Formation ,2200,SH,,-22.9,,SCHI76.344
,Gandarella Formation ,2200,DOL,,,-1,SCHI76.344
,Gandarella Formation ,2200,DOL,,,-1.3,SCHI76.344
,Gandarella Formation ,2200,DOL,,,-3.2,SCHI76.344
,Gandarella Formation ,2200,DOL,,,0.1,SCHI76.344
,Gandarella Formation ,2200,DOL,,,-1.1,SCHI76.344
,Gandarella Formation ,2200,DOL,,,1.6,SCHI76.344
,Gandarella Formation ,2200,LS,,,-3.4,SCHI75...1
,Gowganda Formation ,2250,SH,-27.4,,,JACK78.335
,Gowganda Formation ,2250,SH,-19.5,,,LEVE754706
,Timeball I-fill Formation ,2250,DOL,-19.4,,,EICH75.585
,Timeball I-fill Formation ,2250,DOL,,,0.4,EICH75.585
,Asbestos Iiills Formation ,2300,BIF,0.2,-24.6,,HAYE83..93
,Caue Itabirito Formation ,2300,SH,,-26,,SCHI76.344
,Caue Itabirito Formation ,2300,SH,,-24.2,,SCHI76.344
,Caue Itabirito Formation ,2300,SH,,-20.3,,SCHI76.344
,Caue Itabirito Formation ,2300,SH,,-25.1,,SCHI76.344
,Caue Itabirito Formation ,2300,SH,,-25.4,,SCHI76.344
,Caue Itabirito Formation ,2300,SH,,-21.4,,SCHI76.344
,Caue Itabirito Formation ,2300,DOL,,,-1.2,SCHI76.344
,Caue Itabirito Formation ,2300,DOL,,,0.2,SCHI76.344
,Caue Itabirito Formation ,2300,DOL,,,-2.4,SCHI76.344
,Crocodile River Formation ,2300,DOL,0.2,-29,,HAYE83..93
,Transvaal Supergroup ,2300,CH,,-28,,OEHL721246
,Transvaal Supergroup ,2300,DOL,,-18.5,,EICH75.585
,Transvaal Supergroup ,2300,DOL,,-24.8,,EICH75.585
,Transvaal Supergroup ,2300,DOL,,-23.2,,EICH75.585
,Transvaal Supergroup ,2300,DOL,,-27,,EICH75.585
,Transvaal Supergroup ,2300,DOL,,-26.7,,EICH75.585
,Transvaal Supergroup ,2300,LS,,-27.4,,EICH75.585
,Transvaal Supergroup ,2300,DOL,,-31.3,,EICH75.585
,Transvaal Supergroup ,2300,DOL,,-27,,EICH75.585
,Transvaal Supergroup ,2300,LS,,-39.9,,EICH75.585
,Transvaal Supergroup ,2300,LS,,-29.5,,EICH75.585
,Transvaal Supergroup ,2300,LS,,-31.5,,EICH75.585
,Transvaal Supergroup ,2300,DOL,,-21.1,,EICH75.585
,Transvaal Supergroup ,2300,DOL,,-25.4,,EICH75.585
,Transvaal Supergroup ,2300,SH,,-25.7,,EICH75.585
,Transvaal Supergroup ,2300,SH,,-24.5,,EICH75.585
,Transvaal Supergroup ,2300,LS,,-37.1,,HOER67.365
,Transvaal Supergroup ,2300,DOL,,-28.9,,HOER62.190
,Transvaal Supergroup ,2300,DOL,0.14,-18.7,,HAVE83..93
,Transvaal Supergroup ,2300,DOL,,,-1.4,SCHI83.149
,Transvaal Supergroup ,2300,LS,,,1.5,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,0.4,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.9,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.9,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.5,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.9,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.8,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.2,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1.2,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1.1,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.7,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1.1,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.3,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.3,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.7,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.9,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,0.3,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-0.8,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,0.2,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-1.1,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-0.7,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-1.3,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-0.8,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.2,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.7,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,0.3,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-0.7,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-0.5,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,6.6,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,0.7,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,0.2,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.2,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.6,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.5,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.8,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1.3,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.9,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1.2,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.8,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,0.5,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-2.3,SCHI75...1
,Transvaal Supergroup ,2300,CH,,,-2.1,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-2.8,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-0.6,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-1.9,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-1,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,0.3,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-0.3,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.8,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.6,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.9,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1.3,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-1.3,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-0.5,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-0.3,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-1.3,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-3,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-2.9,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-3,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-2.3,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-2.7,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-0.5,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-0.8,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-0.6,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-0.8,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-1.6,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-0.8,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-1.2,SCHI75...
,Transvaal Supergroup ,2300,DOL,,,-1.1,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-2.2,SCHI75...1
,Transvaal Supergroup ,2300,LS,,,-1.7,SCHI75...1
,Transvaal Supergroup ,2300,DOL,,,-0.9,EICH75.585
,Transvaal Supergroup ,2300,DOL,,,-0.8,EICH75.585
,Transvaal Supergroup ,2300,DOL,,,-0.5,EICH75.585
,Transvaal Supergroup ,2300,DOL,,,0.2,EICH75.585
,Transvaal Supergroup ,2300,DOL,,,-1,EICH75.585
,Transvaal Supergroup ,2300,LS,,,0.3,EICH75.585
,Transvaal Supergroup ,2300,DOL,,,-0.2,EICH75.585
,Transvaal Supergroup ,2300,DOL,,,0.2,EICH75.585
,Transvaal Supergroup ,2300,LS,,,-0.8,EICH75.585
,Transvaal Supergroup ,2300,LS,,,-1.1,EICH75.585
,Transvaal Supergroup ,2300,DOL,,,-0.7,EICH75.585
,Transvaal Supergroup ,2300,DOL,,,-0.9,EICH75.585
,Transvaal Supergroup ,2300,DOL,,,1.9,HOER62.190
,Aravalli Supergroup ,2350,CARB,1.6,-14.7,,BANE86.239
,Aravalli Supergroup ,2350,CARB,1.5,-15.9,,BANE86.239
,Aravalli Supergroup ,2350,CARB,1.9,-13.7,,BANE86.239
,Aravalli Supergroup ,2350,CARB,3.2,-14.1,,BANE86.239
,Aravalli Supergroup ,2350,CARB,2.8,-13.2,,BANE86.239
,Aravalli Supergroup ,2350,CARB,2.3,-14.5,,BANE86.239
,Aravalli Supergroup ,2350,CARB,1.3,-13.9,,BANE86.239
,Aravalli Supergroup ,2350,CARB,0.5,,,BANE86.239
,Aravalli Supergroup ,2350,CARB,2.4,-21.8,,BANE86.239
,Aravalli Supergroup ,2350,CARB,1.4,,,BANE86.239
,Aravalli Supergroup ,2350,CARB,4.5,-11.4,,BANE86.239
,Aravalli Supergroup ,2350,CARB,0.9,-17.6,,BANE86.239
,Lomagundi Group ,2350,SH,,-23.7,,EICH75.585
,Lomagundi Group ,2350,SH,,-24.1,,EICH75.585
,Lomagundi Group ,2350,DOL,,,12.5,SCHI75…1
,Lomagundi Group ,2350,DOL,,,12.9,SCHI75…1
,Lomagundi Group ,2350,DOL,,,11.4,SCHI75…1
,Lomagundi Group ,2350,DOL,,,13.4,SCHI75…1
,Lomagundi Group ,2350,DOL,,,8.1,SCHI75…1
,Lomagundi Group ,2350,DOL,,,7.3,SCHI75…2
,Lomagundi Group ,2350,DOL,,,8,SCHI75…3
,Lomagundi Group ,2350,DOL,,,7.8,SCHI75…4
,Lomagundi Group ,2350,DOL,,,8.6,SCHI75…5
,Lomagundi Group ,2350,DOL,,,8,SCHI75…6
,Lomagundi Group ,2350,DOL,,,9.2,SCHI75…7
,Lomagundi Group ,2350,DOL,,,2.2,SCHI75…8
,Lomagundi Group ,2350,LS,,,-4.9,SCHI75…9
,Lomagundi Group ,2350,LS,,,-4.9,SCHI75…10
,Lomagundi Group ,2350,DOL,,,8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,6.4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,10,SCHI76.449
,Lomagundi Group ,2350,DOL,,,4.4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,10.5,SCHI76.449
,Lomagundi Group ,2350,DOL,,,3.4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7.1,SCHI76.449
,Lomagundi Group ,2350,DOL,,,11.4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,6.9,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8.7,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7.7,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7.2,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7.3,SCHI76.449
,Lomagundi Group ,2350,DOL,,,10.2,SCHI76.449
,Lomagundi Group ,2350,DOL,,,2.7,SCHI76.449
,Lomagundi Group ,2350,DOL,,,12.9,SCHI76.449
,Lomagundi Group ,2350,DOL,,,11.4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,13.4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8.1,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7.3,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7.8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8.6,SCHI76.449
,Lomagundi Group ,2350,DOL,,,9.2,SCHI76.449
,Lomagundi Group ,2350,DOL,,,4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,10.2,SCHI76.449
,Lomagundi Group ,2350,DOL,,,10.8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8.8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,6.8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8.3,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8.2,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7.7,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7.5,SCHI76.449
,Lomagundi Group ,2350,DOL,,,5.8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,9.8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,5.9,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8.8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,9.1,SCHI76.449
,Lomagundi Group ,2350,DOL,,,5.9,SCHI76.449
,Lomagundi Group ,2350,DOL,,,6.6,SCHI76.449
,Lomagundi Group ,2350,DOL,,,11.2,SCHI76.449
,Lomagundi Group ,2350,DOL,,,12.7,SCHI76.449
,Lomagundi Group ,2350,DOL,,,9.7,SCHI76.449
,Lomagundi Group ,2350,DOL,,,6.8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,3.8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,2.6,SCHI76.449
,Lomagundi Group ,2350,DOL,,,6.3,SCHI76.449
,Lomagundi Group ,2350,DOL,,,5.9,SCHI76.449
,Lomagundi Group ,2350,DOL,,,9,SCHI76.449
,Lomagundi Group ,2350,DOL,,,6.4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,6.9,SCHI76.449
,Lomagundi Group ,2350,DOL,,,6.3,SCHI76.449
,Lomagundi Group ,2350,DOL,,,12.5,SCHI76.449
,Lomagundi Group ,2350,DOL,,,6.9,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7.6,SCHI76.449
,Lomagundi Group ,2350,DOL,,,13,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8,SCHI76.449
,Lomagundi Group ,2350,DOL,,,13.6,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8.1,SCHI76.449
,Lomagundi Group ,2350,DOL,,,12.4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,10.5,SCHI76.449
,Lomagundi Group ,2350,DOL,,,10.4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,8.4,SCHI76.449
,Lomagundi Group ,2350,DOL,,,7.5,SCHI76.449
,Lomagundi Group ,2350,DOL,,,11.6,SCHI76.449
,Batatal Formation ,2400,SH,,-24.2,,SCHI76.344
,Batatal Formation ,2400,SH,,-24.6,,SCHI76.344
,Malmani Subgroup ,2400,DOL,0.3,-28.7,,HAYE83…93
,Malmani Subgroup ,2400,DOL,0.8,-32.8,,HAYE83…94
,Malmani Subgroup ,2400,LS,0.3,-30,,HAYE83…95
,Malmani Subgroup ,2400,LS,0.4,-33.6,,HAYE83…96
,Malmani Subgroup ,2400,LS,1.2,-33.1,,HAYE83…97
,Malmani Subgroup ,2400,LS,1.3,-33.8,,HAYE83…98
,Malmani Subgroup ,2400,DOL,1.1,-34.4,,HAYE83…99
,Malmani Subgroup ,2400,CARB,0.7,-31.1,,HAYE83…100
,Malmani Subgroup ,2400,CARB,0.7,-33.1,,HAYE83…101
,Malmani Subgroup ,2400,CARB,1.1,-32.4,,HAYE83…102
,Malmani Subgroup ,2400,DOL,0.6,-34.2,,HAYE83…103
,Malmani Subgroup ,2400,DOL,0.9,-33.5,,HAYE83…104
,Malmani Subgroup ,2400,CH,0.2,-13,,HAYE83…105
,Malmani Subgroup ,2400,LS,-0.9,-14.9,,HAYE83…106
,Malmani Subgroup ,2400,DOL,0.4,-30.4,,HAYE83…107
,Malmani Subgroup ,2400,DOL,0.8,-30.9,,HAYE83…108
,Malmani Subgroup ,2400,LS,0.8,-31.1,,HAYE83…109
,Malmani Subgroup ,2400,LS,0.8,-32.3,,HAYE83…110
,Malmani Subgroup ,2400,DOL,0.9,-34.4,,HAYE83…111
,Malmani Subgroup ,2400,LS,1.1,-34.9,,HAYE83…112
,Malmani Subgroup ,2400,LS,0.6,-31.2,,HAYE83…113
,Malmani Subgroup ,2400,CARB,1.8,-13.8,,HAYE83…114
,Malmani Subgroup ,2400,LS,,,-1.3,SCHI83 . 149
,Malmani Subgroup ,2400,LS,,,-0.5,SCHI83 . 149
,Malmani Subgroup ,2400,LS,,,-0.5,SCHI83.149
,Malmani Subgroup ,2400,LS,,,-0.7,SCHI83.149
,Malmani Subgroup ,2400,CARB,,,-0.8,SCHI83.149
,Malmani Subgroup ,2400,CARB,,,-0.9,SCHI83.149
,Malmani Subgroup ,2400,CARB,,,-0.1,SCHI83.149
,Malmani Subgroup ,2400,LS,,,-0.9,SCHI83.149
,Malmani Subgroup ,2400,DOL,,,-0.6,SCHI83.149
,Malmani Subgroup ,2400,DOL,,,-1,SCHI83.149
,Malmani Subgroup ,2400,LS,,,-0.8,SCHI83.149
,Malmani Subgroup ,2400,LS,,,-0.8,SCHI83.149
,Malmani Subgroup ,2400,CARB,,,-0.9,SCHI83.149
,Gamohaan Formation ,2450,DOL,3,-36.1,,KLEI87..81
,Gamohaan Formation ,2450,CH,9.6,-37.4,,KLEI87..81
Archean 2500 to 3000 Ma,Carawine Dolomite ,2500,DOL,0.09,-17.3,,HAYE83..93
,Carawine Dolomite ,2500,DOL,0.08,-13.6,,HAYE83..93
,Carawine Dolomite ,2500,DOL,0.1,-16,,HAYE83..93
,Carawine Dolomite ,2500,SH,32,-32.7,,HAYE83..93
,Carawine Dolomite ,2500,SH,41,-32.1,,HAYE83..93
,Carawine Dolomite ,2500,CH,0.2,-9.4,,HAYE83..93
,Carawine Dolomite ,2500,DOL,0.05,-21.7,,HAYE83..93
,Carawine Dolomite ,2500,CH,,,0.2,SCHI83.149
